url,previous_issues,latest_issues,score_delta,word_delta,internal_link_delta
https://www.morfrac.com/shop/morfring-26/morfring-70-ptfe-friction-ring-12485,,,0,464,35
https://www.morfrac.com/es/shop/powerfurl-one-drum-bottom-furling-unit-12529,,,0,407,42
