semantic_cluster_id,dominant_label,topic_authority_score,authority_tier,strategic_status,commercial_strength,authority_strength,structural_health,gap_penalty,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,gap_type,gap_score,contextual_link_recommendations,contextual_link_density,recommended_action
5,shackle,51.45,MODERATE,STABLE,67.0,20.0,70,0.0,12,9,2,1,0,0,0,0.0,OK,,0.0,44.0,3.67,
6,other,28.91,WEAK,TOPIC_AT_RISK,61.07,58.68,40,25.0,51,15,0,3,21,119,13,1.07,FRAGMENTED_TOPIC,Missing category support,105.97,30.0,0.59,Create or improve category structure for other pages.
10,morfring,17.35,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,47.0,20.0,60,24.1,13,12,0,1,0,0,0,0.0,OK,Missing technical authority content,91.0,46.0,3.54,Create technical guide content supporting the morfring product family.
3,dogbone,15.0,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,50.31,29.7,40,25.0,31,30,0,1,0,470,3,3.31,FRAGMENTED_TOPIC,Missing technical authority content,151.31,214.0,6.9,Create technical guide content supporting the dogbone product family.
4,padeye,14.0,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,44.0,0.0,60,19.4,9,8,0,1,0,0,0,0.0,OK,Missing category support,44.0,0.0,0.0,Create or improve category structure for padeye pages.
2,morfblock,13.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,55.0,20.0,40,25.0,22,20,2,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,125.0,144.0,6.55,Create technical guide content supporting the morfblock product family.
7,powerfurl,5.95,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,25.0,20.0,40,21.8,38,0,38,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing category support,68.0,69.0,1.82,Create or improve category structure for powerfurl pages.
11,morfblock,3.3,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,32.0,20.0,25,22.4,8,8,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing category support,74.0,64.0,8.0,Create or improve category structure for morfblock pages.
0,morfblock,3.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,30,25.0,30,30,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,145.0,183.0,6.1,Create technical guide content supporting the morfblock product family.
8,powerfurl,3.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,30,25.0,24,24,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,145.0,50.0,2.08,Create technical guide content supporting the powerfurl product family.
1,powerfurl,1.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,25,25.0,16,16,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing technical authority content,155.0,100.0,6.25,Create technical guide content supporting the powerfurl product family.
9,powerfurl,0.0,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,24.0,0.0,25,21.8,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing category support,68.0,0.0,0.0,Create or improve category structure for powerfurl pages.
