semantic_cluster_id,dominant_label,topic_authority_score,authority_tier,strategic_status,commercial_strength,authority_strength,structural_health,gap_penalty,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,gap_type,gap_score,contextual_link_recommendations,contextual_link_density,recommended_action
6,shackle,51.45,MODERATE,STABLE,67.0,20.0,70,0.0,12,9,2,1,0,0,0,0.0,OK,,0.0,44.0,3.67,
2,morfblock,46.06,MODERATE,TOPIC_AT_RISK,79.59,64.58,50,19.4,54,21,2,2,17,124,21,0.59,FRAGMENTED_TOPIC,Missing category support,44.0,93.0,1.72,Create or improve category structure for morfblock pages.
11,morfblock,32.2,WEAK,TOPIC_AT_RISK,44.0,52.0,60,19.4,13,8,0,1,4,0,0,0.0,OK,Missing category support,44.0,68.0,5.23,Create or improve category structure for morfblock pages.
10,morfring,17.35,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,47.0,20.0,60,24.1,13,12,0,1,0,0,0,0.0,OK,Missing technical authority content,91.0,47.0,3.62,Create technical guide content supporting the morfring product family.
9,dogbone,15.7,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,51.05,30.94,40,25.0,31,30,0,1,0,537,2,4.05,FRAGMENTED_TOPIC,Missing technical authority content,151.05,214.0,6.9,Create technical guide content supporting the dogbone product family.
4,padeye,14.0,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,44.0,0.0,60,19.4,9,8,0,1,0,0,0,0.0,OK,Missing category support,44.0,0.0,0.0,Create or improve category structure for padeye pages.
7,powerfurl,5.05,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,25.0,20.0,40,22.7,38,0,38,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing category support,77.0,69.0,1.82,Create or improve category structure for powerfurl pages.
0,morfblock,3.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,30,25.0,30,30,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,145.0,183.0,6.1,Create technical guide content supporting the morfblock product family.
5,powerfurl,3.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,30,25.0,24,24,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,145.0,50.0,2.08,Create technical guide content supporting the powerfurl product family.
3,morfblock,1.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,25,25.0,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing technical authority content,155.0,73.0,5.21,Create technical guide content supporting the morfblock product family.
8,powerfurl,1.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,25,25.0,13,13,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing technical authority content,154.0,89.0,6.85,Create technical guide content supporting the powerfurl product family.
1,powerfurl,0.0,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,5.0,25,22.7,9,9,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing category support,77.0,10.0,1.11,Create or improve category structure for powerfurl pages.
