template_cluster,pages,avg_issue_count,total_issues,avg_commercial_seo_score,avg_title_length,avg_meta_length,avg_word_count,missing_title_count,short_title_count,long_title_count,missing_meta_count,short_meta_count,long_meta_count,missing_h1_count,multiple_h1_count,thin_content_count,missing_alt_count,weak_internal_linking_count,structural_risk_score
product_powerfurl,86,0.0,0,0.0,57.56976744186046,136.97674418604652,298.56976744186045,0,0,0,0,0,0,0,0,0,0,0,0
shop_category,83,0.0,0,0.0,23.10843373493976,28.120481927710845,470.5421686746988,0,0,0,0,0,0,0,0,0,0,0,0
product_morfblock,82,0.0,0,0.0,67.23170731707317,129.1341463414634,389.3170731707317,0,0,0,0,0,0,0,0,0,0,0,0
blog,59,0.0,0,0.0,38.49152542372882,112.79661016949153,656.5254237288135,0,0,0,0,0,0,0,0,0,0,0,0
product_dogbone,52,0.0,0,0.0,55.80769230769231,153.78846153846155,274.75,0,0,0,0,0,0,0,0,0,0,0,0
product_other,39,0.0,0,0.0,47.94871794871795,124.92307692307692,326.28205128205127,0,0,0,0,0,0,0,0,0,0,0,0
other,33,0.0,0,0.0,27.03030303030303,97.36363636363636,463.57575757575756,0,0,0,0,0,0,0,0,0,0,0,0
product_morfring,26,0.0,0,0.0,53.46153846153846,146.30769230769232,384.84615384615387,0,0,0,0,0,0,0,0,0,0,0,0
product_shackle,23,0.0,0,0.0,49.608695652173914,154.08695652173913,479.2608695652174,0,0,0,0,0,0,0,0,0,0,0,0
product_mloop,6,0.0,0,0.0,39.0,145.33333333333334,260.5,0,0,0,0,0,0,0,0,0,0,0,0
landing_dogbone,2,0.0,0,0.0,19.0,134.0,714.0,0,0,0,0,0,0,0,0,0,0,0,0
landing_morfblock,2,0.0,0,0.0,31.0,148.0,1311.5,0,0,0,0,0,0,0,0,0,0,0,0
landing_padeye,2,0.0,0,0.0,18.0,133.0,1339.0,0,0,0,0,0,0,0,0,0,0,0,0
landing_powerfurl,2,0.0,0,0.0,37.5,156.0,1528.0,0,0,0,0,0,0,0,0,0,0,0,0
shop_home,2,0.0,0,0.0,55.0,152.0,566.5,0,0,0,0,0,0,0,0,0,0,0,0
home,1,0.0,0,0.0,43.0,160.0,449.0,0,0,0,0,0,0,0,0,0,0,0,0
