template_cluster,pages,avg_issue_count,total_issues,avg_commercial_seo_score,avg_title_length,avg_meta_length,avg_word_count,missing_title_count,short_title_count,long_title_count,missing_meta_count,short_meta_count,long_meta_count,missing_h1_count,multiple_h1_count,thin_content_count,missing_alt_count,weak_internal_linking_count,structural_risk_score
shop_category,83,0.0,0,0.0,23.10843373493976,28.120481927710845,531.3855421686746,0,0,0,0,0,0,0,0,0,0,0,0
product_morfblock,82,0.0,0,0.0,67.23170731707317,129.1341463414634,455.9390243902439,0,0,0,0,0,0,0,0,0,0,0,0
product_powerfurl,77,0.0,0,0.0,57.883116883116884,136.92207792207793,366.46753246753246,0,0,0,0,0,0,0,0,0,0,0,0
blog,59,0.0,0,0.0,38.25423728813559,110.69491525423729,717.6610169491526,0,0,0,0,0,0,0,0,0,0,0,0
product_dogbone,52,0.0,0,0.0,55.80769230769231,153.78846153846155,339.0769230769231,0,0,0,0,0,0,0,0,0,0,0,0
other,45,0.0,0,0.0,23.288888888888888,127.71111111111111,541.8888888888889,0,0,0,0,0,0,0,0,0,0,0,0
product_other,36,0.0,0,0.0,49.02777777777778,132.38888888888889,396.97222222222223,0,0,0,0,0,0,0,0,0,0,0,0
product_morfring,26,0.0,0,0.0,53.46153846153846,146.30769230769232,446.34615384615387,0,0,0,0,0,0,0,0,0,0,0,0
product_shackle,23,0.0,0,0.0,49.608695652173914,154.08695652173913,542.1304347826087,0,0,0,0,0,0,0,0,0,0,0,0
product_mloop,6,0.0,0,0.0,39.0,145.33333333333334,322.0,0,0,0,0,0,0,0,0,0,0,0,0
landing_dogbone,2,0.0,0,0.0,19.0,134.0,775.5,0,0,0,0,0,0,0,0,0,0,0,0
landing_morfblock,2,0.0,0,0.0,31.0,148.0,1373.0,0,0,0,0,0,0,0,0,0,0,0,0
landing_padeye,2,0.0,0,0.0,18.0,133.0,1400.5,0,0,0,0,0,0,0,0,0,0,0,0
landing_powerfurl,2,0.0,0,0.0,37.5,156.0,1589.5,0,0,0,0,0,0,0,0,0,0,0,0
shop_home,2,0.0,0,0.0,55.0,152.0,628.0,0,0,0,0,0,0,0,0,0,0,0,0
home,1,0.0,0,0.0,43.0,160.0,500.0,0,0,0,0,0,0,0,0,0,0,0,0
