template_cluster,pages,avg_issue_count,total_issues,avg_commercial_seo_score,avg_title_length,avg_meta_length,avg_word_count,missing_title_count,short_title_count,long_title_count,missing_meta_count,short_meta_count,long_meta_count,missing_h1_count,multiple_h1_count,thin_content_count,missing_alt_count,weak_internal_linking_count,structural_risk_score
shop_category,87,3.793103448275862,330,21.379310344827587,23.42528735632184,19.60919540229885,532.4137931034483,0,81,0,75,0,0,0,87,0,87,0,978
product_morfblock,82,2.7195121951219514,223,17.451219512195124,67.23170731707317,129.3658536585366,449.1585365853659,0,1,57,0,1,0,0,82,0,82,0,471
other,49,3.63265306122449,178,7.551020408163265,22.571428571428573,118.3061224489796,1685.4285714285713,2,38,0,10,0,4,6,37,20,45,8,403
product_powerfurl,72,2.0555555555555554,148,16.11111111111111,57.833333333333336,136.95833333333334,366.0416666666667,0,0,4,0,0,0,0,72,0,72,0,364
blog,57,2.56140350877193,146,7.701754385964913,40.43859649122807,103.08771929824562,695.859649122807,0,22,0,7,8,4,0,48,0,57,0,364
product_dogbone,52,2.0576923076923075,107,16.057692307692307,55.80769230769231,153.78846153846155,338.4423076923077,0,0,0,0,0,3,0,52,0,52,0,263
product_other,36,2.1666666666666665,78,14.88888888888889,49.02777777777778,132.38888888888889,396.5833333333333,0,1,0,2,0,1,0,36,2,36,0,194
product_morfring,26,2.076923076923077,54,16.5,51.69230769230769,141.30769230769232,433.5769230769231,1,0,0,1,0,0,1,25,0,25,0,132
product_shackle,22,2.0,44,16.0,49.36363636363637,154.1818181818182,524.4090909090909,0,0,0,0,0,0,0,22,0,22,0,110
product_mloop,6,2.3333333333333335,14,17.0,39.0,145.33333333333334,321.5,0,2,0,0,0,0,0,6,0,6,0,36
landing_dogbone,2,3.0,6,19.0,19.0,134.0,775.0,0,2,0,0,0,0,0,2,0,2,0,16
landing_morfblock,2,3.0,6,19.0,20.0,139.0,1379.0,0,2,0,0,0,0,0,2,0,2,0,16
landing_padeye,2,3.0,6,19.0,18.0,133.0,1400.0,0,2,0,0,0,0,0,2,0,2,0,16
landing_powerfurl,2,3.0,6,18.5,43.0,156.0,1589.0,0,1,1,0,0,0,0,2,0,2,0,14
shop_home,2,2.0,4,10.0,55.0,152.0,628.5,0,0,0,0,0,0,0,2,0,2,0,10
home,1,2.0,2,10.0,43.0,160.0,500.0,0,0,0,0,0,0,0,1,0,1,0,5
