template_cluster,pages,avg_issue_count,total_issues,avg_commercial_seo_score,avg_title_length,avg_meta_length,avg_word_count,missing_title_count,short_title_count,long_title_count,missing_meta_count,short_meta_count,long_meta_count,missing_h1_count,multiple_h1_count,thin_content_count,missing_alt_count,weak_internal_linking_count,structural_risk_score
shop_category,87,0.0,0,0.0,23.42528735632184,19.60919540229885,532.4137931034483,0,0,0,0,0,0,0,0,0,0,0,0
product_morfblock,82,0.0,0,0.0,67.23170731707317,129.3658536585366,449.1585365853659,0,0,0,0,0,0,0,0,0,0,0,0
product_powerfurl,72,0.0,0,0.0,57.833333333333336,136.95833333333334,366.0416666666667,0,0,0,0,0,0,0,0,0,0,0,0
blog,57,0.0,0,0.0,40.43859649122807,103.08771929824562,695.859649122807,0,0,0,0,0,0,0,0,0,0,0,0
product_dogbone,52,0.0,0,0.0,55.80769230769231,153.78846153846155,338.4423076923077,0,0,0,0,0,0,0,0,0,0,0,0
other,49,0.0,0,0.0,22.571428571428573,116.46938775510205,1685.4285714285713,0,0,0,0,0,0,0,0,0,0,0,0
product_other,36,0.0,0,0.0,49.02777777777778,132.38888888888889,396.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0
product_morfring,26,0.0,0,0.0,53.46153846153846,146.30769230769232,445.84615384615387,0,0,0,0,0,0,0,0,0,0,0,0
product_shackle,22,0.0,0,0.0,49.36363636363637,154.1818181818182,524.4090909090909,0,0,0,0,0,0,0,0,0,0,0,0
product_mloop,6,0.0,0,0.0,39.0,145.33333333333334,321.5,0,0,0,0,0,0,0,0,0,0,0,0
landing_dogbone,2,0.0,0,0.0,19.0,134.0,775.0,0,0,0,0,0,0,0,0,0,0,0,0
landing_morfblock,2,0.0,0,0.0,20.0,139.0,1379.0,0,0,0,0,0,0,0,0,0,0,0,0
landing_padeye,2,0.0,0,0.0,18.0,133.0,1400.0,0,0,0,0,0,0,0,0,0,0,0,0
landing_powerfurl,2,0.0,0,0.0,43.0,156.0,1589.0,0,0,0,0,0,0,0,0,0,0,0,0
shop_home,2,0.0,0,0.0,55.0,152.0,628.5,0,0,0,0,0,0,0,0,0,0,0,0
home,1,0.0,0,0.0,43.0,160.0,500.0,0,0,0,0,0,0,0,0,0,0,0,0
