title,duplicate_count,urls,page_types,business_priorities,severity
powerfurl.[one] - top down furling kit | 1.5t swl | morfrac,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-top-down-furling-kit-12825 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-top-down-furling-kit-12825 | https://www.morfrac.com/es/shop/powerfurl-one-top-down-furling-kit-12825 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-top-down-furling-kit-12825 | https://www.morfrac.com/shop/powerfurl-one-top-down-furling-kit-12825,product,high,MEDIUM
powerfurl.[ten] - fork fitting | 10t swl | morfrac,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-fork-fitting-12561 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-fork-fitting-12561 | https://www.morfrac.com/es/shop/powerfurl-ten-fork-fitting-12561 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-fork-fitting-12561 | https://www.morfrac.com/shop/powerfurl-ten-fork-fitting-12561,product,high,MEDIUM
powerfurl.[ten] - fork + 2:1 | 10t swl | morfrac,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-fork-2-1-fitting-12562 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-fork-2-1-fitting-12562 | https://www.morfrac.com/es/shop/powerfurl-ten-fork-2-1-fitting-12562 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-fork-2-1-fitting-12562 | https://www.morfrac.com/shop/powerfurl-ten-fork-2-1-fitting-12562,product,high,MEDIUM
powerfurl.[ten] - drum | 10t swl bottom furling unit | morfrac,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-drum-bottom-furling-unit-12560 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-drum-bottom-furling-unit-12560 | https://www.morfrac.com/es/shop/powerfurl-ten-drum-bottom-furling-unit-12560 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-drum-bottom-furling-unit-12560 | https://www.morfrac.com/shop/powerfurl-ten-drum-bottom-furling-unit-12560,product,high,MEDIUM
almacenadores sin fin | morfrac,5,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31 | https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/2 | https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/3 | https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/4 | https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/5,product,high,MEDIUM
morfrac dogbone. - flat faced m | titanium | morfrac,5,https://www.morfrac.com/es/shop/dogbone-25/dogbone-flat-faced-medium-titanium-12820 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-flat-faced-medium-titanium-12820 | https://www.morfrac.com/es/shop/outlet-36/dogbone-flat-faced-medium-titanium-12820 | https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-medium-titanium-12820 | https://www.morfrac.com/shop/outlet-36/dogbone-flat-faced-medium-titanium-12820,product,high,MEDIUM
powerfurl.[one] - furling kit | 1.5t swl | morfrac,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-furling-kit-12530 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-furling-kit-12530 | https://www.morfrac.com/es/shop/powerfurl-one-furling-kit-12530 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-furling-kit-12530 | https://www.morfrac.com/shop/powerfurl-one-furling-kit-12530,product,high,MEDIUM
powerfurl.[one] - drum | 1.5t swl bottom furling unit | morfrac,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-drum-bottom-furling-unit-12529 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-drum-bottom-furling-unit-12529 | https://www.morfrac.com/es/shop/powerfurl-one-drum-bottom-furling-unit-12529 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-drum-bottom-furling-unit-12529 | https://www.morfrac.com/shop/powerfurl-one-drum-bottom-furling-unit-12529,product,high,MEDIUM
powerfurl.[one] - thimble | 1.5t swl | morfrac,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-thimble-12528 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-thimble-12528 | https://www.morfrac.com/es/shop/powerfurl-one-thimble-12528 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-thimble-12528 | https://www.morfrac.com/shop/powerfurl-one-thimble-12528,product,high,MEDIUM
powerfurl.[one] - tdi | 1.5t swl top down integrator | morfrac,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-top-down-integrator-12534 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-top-down-integrator-12534 | https://www.morfrac.com/es/shop/powerfurl-one-top-down-integrator-12534 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-top-down-integrator-12534 | https://www.morfrac.com/shop/powerfurl-one-top-down-integrator-12534,product,high,MEDIUM
