h1,duplicate_count,urls,page_types,business_priorities,severity
morfring.[50],2,https://www.morfrac.com/es/shop/morfring-26/morfring-50-ptfe-friction-ring-12481 | https://www.morfrac.com/shop/morfring-26/morfring-50-ptfe-friction-ring-12481,product,high,LOW
morfring.[40],2,https://www.morfrac.com/es/shop/morfring-26/morfring-40-ptfe-friction-ring-12479 | https://www.morfrac.com/shop/morfring-26/morfring-40-ptfe-friction-ring-12479,product,high,LOW
padeye.[ring] 20-15,2,https://www.morfrac.com/es/shop/padeye-27/padeye-ring-20-15-stick-on-padeye-ring-12652 | https://www.morfrac.com/shop/padeye-27/padeye-ring-20-15-stick-on-padeye-ring-12652,product,high,LOW
morfring.[70xl],2,https://www.morfrac.com/es/shop/morfring-26/morfring-70xl-ptfe-friction-ring-12484 | https://www.morfrac.com/shop/morfring-26/morfring-70xl-ptfe-friction-ring-12484,product,high,LOW
powerfurl.[eight] kit - carbon - single line,2,https://www.morfrac.com/es/shop/outlet-36/powerfurl8-single-kit-12822 | https://www.morfrac.com/shop/outlet-36/powerfurl8-single-kit-12822,product,high,LOW
padeye.[stick] 40,2,https://www.morfrac.com/es/shop/padeye-27/padeye-stick-40-stick-on-padeye-12651 | https://www.morfrac.com/shop/padeye-27/padeye-stick-40-stick-on-padeye-12651,product,high,LOW
padeye.[through] 1.5,2,https://www.morfrac.com/es/shop/padeye-27/padeye-through-1-5t-through-deck-padeye-12640 | https://www.morfrac.com/shop/padeye-27/padeye-through-1-5t-through-deck-padeye-12640,product,high,LOW
padeye.[through] 3,2,https://www.morfrac.com/es/shop/padeye-27/padeye-through-3t-through-deck-padeye-12649 | https://www.morfrac.com/shop/padeye-27/padeye-through-3t-through-deck-padeye-12649,product,high,LOW
padeye.[through] 6,2,https://www.morfrac.com/es/shop/padeye-27/padeye-through-6t-through-deck-padeye-12655 | https://www.morfrac.com/shop/padeye-27/padeye-through-6t-through-deck-padeye-12655,product,high,LOW
partners,2,https://www.morfrac.com/es/partner | https://www.morfrac.com/partner,system,ignore,LOW
padeye.[ring] 20-20,2,https://www.morfrac.com/es/shop/padeye-27/padeye-ring-20-20-stick-on-padeye-ring-12654 | https://www.morfrac.com/shop/padeye-27/padeye-ring-20-20-stick-on-padeye-ring-12654,product,high,LOW
padeye.[ring] 20-30,2,https://www.morfrac.com/es/shop/padeye-27/padeye-ring-20-30-stick-on-padeye-ring-12653 | https://www.morfrac.com/shop/padeye-27/padeye-ring-20-30-stick-on-padeye-ring-12653,product,high,LOW
padeye.[stick] 20,2,https://www.morfrac.com/es/shop/padeye-27/padeye-stick-20-stick-on-padeye-12650 | https://www.morfrac.com/shop/padeye-27/padeye-stick-20-stick-on-padeye-12650,product,high,LOW
powerfurl.[six] - ti-shackle 10mm,2,https://www.morfrac.com/es/shop/ti-shackle-24/powerfurl-six-ti-shackle-12541 | https://www.morfrac.com/shop/ti-shackle-24/powerfurl-six-ti-shackle-12541,product,high,LOW
powerfurl.[three] kit + fittings - refurbished,2,https://www.morfrac.com/es/shop/outlet-36/powerfurl3-kit-mix-12818 | https://www.morfrac.com/shop/outlet-36/powerfurl3-kit-mix-12818,product,high,LOW
powerfurl.[three] - ti-shackle 8mm,2,https://www.morfrac.com/es/shop/ti-shackle-24/powerfurl-three-ti-shackle-12575 | https://www.morfrac.com/shop/ti-shackle-24/powerfurl-three-ti-shackle-12575,product,high,LOW
powerfurl.[three] - thimble v.1,2,https://www.morfrac.com/es/shop/outlet-36/powerfurl3-thimble-12817 | https://www.morfrac.com/shop/outlet-36/powerfurl3-thimble-12817,product,high,LOW
"torlon® balls 9,525 - 3/8 - 10 pack",2,https://www.morfrac.com/es/shop/outlet-36/torbol-3-8-torlon-balls-9-525-3-8-10-pack-12816 | https://www.morfrac.com/shop/outlet-36/torbol-3-8-torlon-balls-9-525-3-8-10-pack-12816,product,high,LOW
