query,ranking_pages,page_count,total_impressions,total_clicks,best_position,intents,page_types,severity
mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675 | https://www.morfrac.com/shop/mloop-dyneema-loop-12675,2,288.0,0.0,5.82,commercial,product,LOW
dogbone,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,163.0,0.0,8.3,commercial,landing,LOW
dogbones,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,138.0,1.0,18.06,commercial,landing,LOW
mor 004,https://www.morfrac.com/shop/morfblock-light-4-hl-12823 | https://www.morfrac.com/shop/morfblock-light-4-p-12338,2,23.0,0.0,13.5,product_code,product,LOW
