query,ranking_pages,page_count,total_impressions,total_clicks,best_position,intents,page_types,severity
dogbone,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,334.0,1.0,6.5,commercial,landing,LOW
dogbones,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,77.0,0.0,5.0,commercial,landing,LOW
dog bone,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,65.0,0.0,2.19,commercial,landing,LOW
camfrac,https://www.morfrac.com/ | https://www.morfrac.com/about,2,19.0,0.0,34.45,unknown,home | other,LOW
