query,ranking_pages,page_count,total_impressions,total_clicks,best_position,intents,page_types,severity
dogbone,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,291.0,5.0,7.02,commercial,landing,LOW
dogbones,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,116.0,0.0,6.96,commercial,landing,LOW
dog bone,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,37.0,0.0,3.85,commercial,landing,LOW
camfrac,https://www.morfrac.com/ | https://www.morfrac.com/about,2,12.0,0.0,33.2,unknown,home | other,LOW
