query,ranking_pages,page_count,total_impressions,total_clicks,best_position,intents,page_types,severity
dogbone,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,214.0,2.0,6.47,commercial,landing,LOW
mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675 | https://www.morfrac.com/shop/mloop-dyneema-loop-12675,2,162.0,0.0,6.73,commercial,product,LOW
dogbones,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,60.0,1.0,3.15,commercial,landing,LOW
