query,ranking_pages,page_count,total_impressions,total_clicks,best_position,intents,page_types,severity
dogbone,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,188.0,1.0,7.78,commercial,landing,LOW
dogbones,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,2,71.0,0.0,8.14,commercial,landing,LOW
mapfrac,https://www.morfrac.com/ | https://www.morfrac.com/solutions,2,11.0,0.0,32.5,unknown,home | other,LOW
