query,page,clicks,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,issue_count,title_length,meta_description_length,issues,opportunity_score,opportunity_level,fix_types,priority_reason,recommended_action,suggested_title_direction,suggested_meta_direction
mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,125.0,0.0,3.5,3.5,6.73,commercial,product,0,44.0,158.0,,130,VERY HIGH,internal_linking_review; serp_ctr_improvement,high existing visibility; CTR below expected; already ranking on page 1; commercial/product intent,Add internal links from related landing/category pages to this product page.,Mloop for Sailing Hardware | MORFRAC,"Discover MORFRAC mloop solutions for high-performance sailing hardware, engineered for strength, reliability, and simple integration."
dogbone,https://www.morfrac.com/es/dogbone,1.0,104.0,0.96,3.5,2.54,6.47,commercial,landing,0,19.0,134.0,,125,VERY HIGH,internal_linking_review; serp_ctr_improvement; title_rewrite,high existing visibility; CTR below expected; already ranking on page 1; commercial/product intent,Strengthen landing page copy around the query cluster and link to relevant products.,Dogbone for High-Performance Sailing | MORFRAC,"Discover MORFRAC dogbone solutions for high-performance sailing hardware, engineered for strength, reliability, and simple integration."
dogbone,https://www.morfrac.com/dogbone,1.0,110.0,0.91,3.0,2.09,7.5,commercial,landing,0,19.0,134.0,,125,VERY HIGH,internal_linking_review; serp_ctr_improvement; title_rewrite,high existing visibility; CTR below expected; already ranking on page 1; commercial/product intent,Strengthen landing page copy around the query cluster and link to relevant products.,Dogbone for High-Performance Sailing | MORFRAC,"Discover MORFRAC dogbone solutions for high-performance sailing hardware, engineered for strength, reliability, and simple integration."
mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,0.0,37.0,0.0,3.0,3.0,7.3,commercial,product,0,44.0,158.0,,110,VERY HIGH,internal_linking_review; serp_ctr_improvement,CTR below expected; already ranking on page 1; commercial/product intent,Add internal links from related landing/category pages to this product page.,Mloop for Sailing Hardware | MORFRAC,"Discover MORFRAC mloop solutions for high-performance sailing hardware, engineered for strength, reliability, and simple integration."
dog bone shackle,https://www.morfrac.com/dogbone,0.0,7.0,0.0,3.5,3.5,7.0,commercial,landing,0,19.0,134.0,,105,VERY HIGH,internal_linking_review; serp_ctr_improvement; title_rewrite,CTR below expected; already ranking on page 1; commercial/product intent,Strengthen landing page copy around the query cluster and link to relevant products.,Dog Bone Shackle for High-Performance Sailing | MORFRAC,"Discover MORFRAC dog bone shackle solutions for high-performance sailing hardware, engineered for strength, reliability, and simple integration."
deck pad eye,https://www.morfrac.com/padeye,0.0,20.0,0.0,5.0,5.0,4.05,commercial,landing,0,18.0,133.0,,105,VERY HIGH,internal_linking_review; serp_ctr_improvement; title_rewrite,CTR below expected; already ranking on page 1; commercial/product intent,Strengthen landing page copy around the query cluster and link to relevant products.,Deck Pad Eye for High-Performance Sailing | MORFRAC,"Discover MORFRAC deck pad eye solutions for high-performance sailing hardware, engineered for strength, reliability, and simple integration."
dogbone shackle,https://www.morfrac.com/dogbone,0.0,6.0,0.0,3.5,3.5,6.33,commercial,landing,0,19.0,134.0,,105,VERY HIGH,internal_linking_review; serp_ctr_improvement; title_rewrite,CTR below expected; already ranking on page 1; commercial/product intent,Strengthen landing page copy around the query cluster and link to relevant products.,Dogbone Shackle for High-Performance Sailing | MORFRAC,"Discover MORFRAC dogbone shackle solutions for high-performance sailing hardware, engineered for strength, reliability, and simple integration."
dogbone sailing,https://www.morfrac.com/dogbone,0.0,9.0,0.0,3.0,3.0,7.44,commercial,landing,0,19.0,134.0,,105,VERY HIGH,internal_linking_review; serp_ctr_improvement; title_rewrite,CTR below expected; already ranking on page 1; commercial/product intent,Strengthen landing page copy around the query cluster and link to relevant products.,Dogbone Sailing for High-Performance Sailing | MORFRAC,"Discover MORFRAC dogbone sailing solutions for high-performance sailing hardware, engineered for strength, reliability, and simple integration."
m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,25.0,0.0,2.0,2.0,9.24,commercial,product,0,44.0,158.0,,100,VERY HIGH,internal_linking_review; serp_ctr_improvement,CTR below expected; already ranking on page 1; commercial/product intent,Add internal links from related landing/category pages to this product page.,M Loop for Sailing Hardware | MORFRAC,"Discover MORFRAC m loop solutions for high-performance sailing hardware, engineered for strength, reliability, and simple integration."
dog bone steel,https://www.morfrac.com/dogbone,0.0,5.0,0.0,2.5,2.5,8.2,commercial,landing,0,19.0,134.0,,95,HIGH,internal_linking_review; serp_ctr_improvement; title_rewrite,CTR below expected; already ranking on page 1; commercial/product intent,Strengthen landing page copy around the query cluster and link to relevant products.,Dog Bone Steel for High-Performance Sailing | MORFRAC,"Discover MORFRAC dog bone steel solutions for high-performance sailing hardware, engineered for strength, reliability, and simple integration."
