date,sessions_7_change,sessions_28_change,click_change,impression_change,ctr_change,position_change,alerts,opportunities,campaigns
2026-05-06,1.5,-36.3,-35.4,-3.1,-33.4,3.88,3,4,4
2026-05-07,17.3,-36.5,-37.5,-8.4,-31.7,4.04,3,4,4
2026-05-09,20.4,-33.9,-37.5,-4.1,-34.8,3.94,3,5,4
