url,page_type,business_priority,commercial_relevance,authority_value,authority_cluster,inbound_internal_links,unique_linking_pages,outbound_internal_links,unique_target_pages,total_search_impressions,max_opportunity_score,primary_queries,search_intents,internal_link_graph_score,internal_link_priority
https://www.morfrac.com/es/shop/custom-33/powerfurl6-shackle10-12826,product,high,high,high,shackle,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/custom-33/powerfurl-underdeck-custom-furling-system-12662,product,high,high,high,powerfurl,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/custom-33/morfblock-titanium-snatch-12666,product,high,high,high,morfblock,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/custom-33/morfblcok-custom-runners-12664,product,high,high,high,morfblock,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/custom-33/m-swivel-12663,product,high,high,high,custom_engineering,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/category/morfblock-morfblock-xl-21,product,high,high,high,morfblock,2.0,2.0,73.0,73.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/category/morfblock-morfblock-wood-20,product,high,high,high,morfblock,2.0,2.0,69.0,69.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/category/morfblock-morfblock-ultra-38,product,high,high,high,morfblock,1.0,1.0,67.0,67.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/category/morfblock-morfblock-light-18,product,high,high,high,morfblock,2.0,2.0,74.0,74.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-continuous-line-furling-kit-12564,product,high,high,high,powerfurl,2.0,2.0,44.0,44.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-top-down-integrator-12534,product,high,high,high,powerfurl,2.0,2.0,40.0,40.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-top-down-furling-kit-12825,product,high,high,high,powerfurl,2.0,2.0,44.0,44.0,0.0,0.0,,,145.0,CRITICAL
