url,page_type,business_priority,internal_link_count,issue_count,word_count,priority,authority_gap,crosslink_opportunities,recommended_actions,internal_link_opportunity_score
https://www.morfrac.com/shop/category/shackle-24,product,high,65,4,444,high,,,Add related product links,77
https://www.morfrac.com/shop/category/morfblock-17,product,high,79,4,645,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/shop/category/mloop-34,product,high,63,4,411,high,,Cross-link loop sizing/configuration pages,Add related product links,77
https://www.morfrac.com/shop/category/dogbone-25,product,high,75,4,537,high,,Cross-link aluminium/titanium variants,Add related product links,77
https://www.morfrac.com/shop/category/morfring-26,product,high,73,4,515,high,,Cross-link related ring sizes,Add related product links,77
https://www.morfrac.com/shop/category/padeye-27,product,high,69,4,474,high,,,Add related product links,77
https://www.morfrac.com/shop/category/morfblock-morfblock-wood-20,product,high,69,4,506,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/morfblock-morfblockxl-21,product,high,73,4,564,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/mreel-35,product,high,65,4,459,high,,,Add related product links,77
https://www.morfrac.com/es/shop/category/morfblock-morfblocksnatch-19,product,high,62,4,409,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/morfblock-morfblockmax-38,product,high,67,4,508,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/morfblock-morfblocklight-18,product,high,74,4,600,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/morfblock-morfblockwood-20,product,high,69,4,524,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/dogbone-dogbone-ti-29,product,high,68,4,489,high,,Cross-link aluminium/titanium variants,Add related product links,77
https://www.morfrac.com/es/shop/category/dogbone-dogbone-al-28,product,high,68,4,477,high,,Cross-link aluminium/titanium variants,Add related product links,77
https://www.morfrac.com/es/shop/category/custom-33,product,high,67,4,447,high,,,Add related product links,77
https://www.morfrac.com/es/shop/category/morfblock-17/page/2,product,high,79,4,662,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/morfblock-17/page/3,product,high,72,4,549,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/ti-shackle-24,product,high,65,4,454,high,,,Add related product links,77
https://www.morfrac.com/es/shop/category/powerfurl-tdi-22,product,high,65,4,454,high,,Cross-link compatible furling components,Add related product links,77
https://www.morfrac.com/es/shop/category/powerfurl-tdis-23,product,high,65,4,459,high,,Cross-link compatible furling components,Add related product links,77
https://www.morfrac.com/es/shop/category/powerfurl-underdeck-32,product,high,62,4,409,high,,Cross-link compatible furling components,Add related product links,77
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurlfour-11,product,high,76,4,618,high,,Cross-link compatible furling components,Add related product links,77
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurlthree-15,product,high,78,4,643,high,,Cross-link compatible furling components,Add related product links,77
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurlsix-13,product,high,78,4,647,high,,Cross-link compatible furling components,Add related product links,77
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurltwelve-16,product,high,66,4,464,high,,Cross-link compatible furling components,Add related product links,77
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurlten-14,product,high,67,4,478,high,,Cross-link compatible furling components,Add related product links,77
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurlone-12,product,high,70,4,521,high,,Cross-link compatible furling components,Add related product links,77
https://www.morfrac.com/es/shop/category/mainsail-systems-39,product,high,62,4,410,high,,,Add related product links,77
https://www.morfrac.com/es/shop/category/morfblock-morfblock-wood-20,product,high,69,4,524,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/morfblock-morfblock-ultra-38,product,high,67,4,508,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/morfblock-morfblock-light-18,product,high,74,4,600,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/morfblock-morfblock-xl-21,product,high,73,4,564,high,,Cross-link related morfblock size families,Add related product links,77
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurleight-10,product,high,67,4,477,high,,Cross-link compatible furling components,Add related product links,77
https://www.morfrac.com/es/shop/category/shackle-24,product,high,65,4,454,high,,,Add related product links,77
https://www.morfrac.com/es/shop/category/dogbone-25,product,high,75,4,567,high,,Cross-link aluminium/titanium variants,Add related product links,77
https://www.morfrac.com/es/shop/category/morfring-26,product,high,73,4,541,high,,Cross-link related ring sizes,Add related product links,77
https://www.morfrac.com/es/shop/category/padeye-27,product,high,69,4,492,high,,,Add related product links,77
https://www.morfrac.com/shop/category/ti-shackle-24,product,high,65,4,444,high,,,Add related product links,77
https://www.morfrac.com/shop/category/powerfurl-underdeck-32,product,high,62,4,405,high,,Cross-link compatible furling components,Add related product links,77
https://www.morfrac.com/shop/category/powerfurl-single-line-30,product,high,71,4,563,high,,Cross-link compatible furling components,Add related product links,77
