source_entity_type,source_entity_name,target_entity_type,target_entity_name,relationship_type,relationship_count,total_relationship_weight
material,dyneema,application,sail_handling,general_internal_link,31,31
material,dyneema,engineering_concept,breaking_load,general_internal_link,31,31
material,titanium,engineering_concept,high_load,general_internal_link,31,31
product_family,mloop,application,furling_systems,general_internal_link,31,31
application,low_friction_rigging,product_family,morfring,product_related_to_product,30,30
application,rope_management,engineering_concept,low_friction,product_related_to_product,30,30
application,rope_management,material,aluminium,general_internal_link,30,30
application,rope_management,product_family,morfring,product_related_to_product,30,30
application,sail_handling,material,aluminium,product_related_to_product,30,30
engineering_concept,breaking_load,engineering_concept,high_load,general_internal_link,30,30
engineering_concept,low_friction,application,rope_management,product_related_to_product,30,30
engineering_concept,low_friction,material,aluminium,product_related_to_product,30,30
engineering_concept,low_friction,product_family,morfring,product_related_to_product,30,30
intent,brand,product_family,morfring,product_related_to_product,30,30
intent,commercial,product_family,morfring,product_related_to_product,30,30
intent,support,material,titanium,general_internal_link,30,30
material,aluminium,application,sail_handling,product_related_to_product,30,30
material,aluminium,engineering_concept,low_friction,product_related_to_product,30,30
material,aluminium,product_family,morfring,product_related_to_product,30,30
material,stainless_steel,application,sail_handling,general_internal_link,30,30
material,titanium,product_family,morfring,product_related_to_product,30,30
product_family,dogbone,product_family,mreel,general_internal_link,30,30
product_family,morfring,application,low_friction_rigging,product_related_to_product,30,30
product_family,morfring,application,rope_management,product_related_to_product,30,30
product_family,morfring,engineering_concept,low_friction,product_related_to_product,30,30
product_family,morfring,intent,brand,product_related_to_product,30,30
product_family,morfring,intent,commercial,product_related_to_product,30,30
product_family,morfring,material,aluminium,product_related_to_product,30,30
product_family,morfring,material,titanium,product_related_to_product,30,30
product_family,morfwing,engineering_concept,breaking_load,general_internal_link,30,30
product_family,mreel,product_family,dogbone,general_internal_link,30,30
application,soft_connection,application,furling_systems,product_links_to_parent,15,30
application,soft_connection,engineering_concept,lightweight,product_links_to_parent,15,30
application,soft_connection,engineering_concept,low_friction,product_links_to_parent,15,30
application,soft_connection,intent,support,product_links_to_parent,15,30
application,soft_connection,material,stainless_steel,product_links_to_parent,15,30
engineering_concept,marine_hardware,product_family,dogbone,product_links_to_parent,15,30
product_family,morfring,engineering_concept,high_load,product_links_to_parent,15,30
product_family,morfring,engineering_concept,swl,product_links_to_parent,15,30
application,furling_systems,application,custom_engineering,authority_supports_commercial,6,30
application,furling_systems,engineering_concept,breaking_load,authority_supports_commercial,6,30
application,furling_systems,engineering_concept,customizable,authority_supports_commercial,6,30
application,furling_systems,material,aluminium,authority_supports_commercial,6,30
application,low_friction_rigging,intent,brand,authority_supports_commercial,6,30
application,rope_management,application,custom_engineering,authority_supports_commercial,6,30
application,rope_management,engineering_concept,breaking_load,authority_supports_commercial,6,30
application,rope_management,engineering_concept,customizable,authority_supports_commercial,6,30
application,rope_management,material,aluminium,authority_supports_commercial,6,30
application,sail_handling,engineering_concept,high_load,authority_supports_commercial,6,30
application,sail_handling,engineering_concept,swl,authority_supports_commercial,6,30
application,sheet_handling,application,deck_attachment,authority_supports_commercial,6,30
application,sheet_handling,application,furling_systems,authority_supports_commercial,6,30
application,sheet_handling,application,low_friction_rigging,authority_supports_commercial,6,30
application,sheet_handling,engineering_concept,lightweight,authority_supports_commercial,6,30
application,sheet_handling,engineering_concept,low_friction,authority_supports_commercial,6,30
application,sheet_handling,material,stainless_steel,authority_supports_commercial,6,30
application,sheet_handling,product_family,dogbone,authority_supports_commercial,6,30
application,sheet_handling,product_family,morfblock,authority_supports_commercial,6,30
application,sheet_handling,product_family,morfring,authority_supports_commercial,6,30
application,sheet_handling,product_family,padeye,authority_supports_commercial,6,30
application,sheet_handling,product_family,powerfurl,authority_supports_commercial,6,30
application,sheet_handling,product_family,shackle,authority_supports_commercial,6,30
engineering_concept,lightweight,intent,brand,authority_supports_commercial,6,30
engineering_concept,swl,application,custom_engineering,authority_supports_commercial,6,30
engineering_concept,swl,engineering_concept,breaking_load,authority_supports_commercial,6,30
engineering_concept,swl,engineering_concept,customizable,authority_supports_commercial,6,30
engineering_concept,swl,material,aluminium,authority_supports_commercial,6,30
intent,commercial,application,custom_engineering,authority_supports_commercial,6,30
intent,commercial,engineering_concept,breaking_load,authority_supports_commercial,6,30
intent,commercial,engineering_concept,customizable,authority_supports_commercial,6,30
intent,commercial,material,aluminium,authority_supports_commercial,6,30
material,aluminium,application,sail_handling,authority_supports_commercial,6,30
material,carbon,application,custom_engineering,authority_supports_commercial,6,30
material,carbon,engineering_concept,breaking_load,authority_supports_commercial,6,30
material,carbon,engineering_concept,customizable,authority_supports_commercial,6,30
material,carbon,material,aluminium,authority_supports_commercial,6,30
material,stainless_steel,application,sail_handling,authority_supports_commercial,6,30
product_family,morfblock,application,deck_attachment,authority_supports_commercial,6,30
product_family,morfblock,application,furling_systems,authority_supports_commercial,6,30
product_family,morfblock,application,low_friction_rigging,authority_supports_commercial,6,30
product_family,morfblock,application,sheet_handling,authority_supports_commercial,6,30
product_family,morfblock,engineering_concept,lightweight,authority_supports_commercial,6,30
product_family,morfblock,engineering_concept,low_friction,authority_supports_commercial,6,30
product_family,morfblock,material,stainless_steel,authority_supports_commercial,6,30
product_family,morfblock,product_family,dogbone,authority_supports_commercial,6,30
product_family,morfblock,product_family,morfring,authority_supports_commercial,6,30
product_family,morfblock,product_family,padeye,authority_supports_commercial,6,30
product_family,morfblock,product_family,powerfurl,authority_supports_commercial,6,30
product_family,morfblock,product_family,shackle,authority_supports_commercial,6,30
product_family,morfwing,application,sail_handling,authority_supports_commercial,6,30
product_family,powerfurl,application,deck_attachment,authority_supports_commercial,6,30
product_family,powerfurl,application,furling_systems,authority_supports_commercial,6,30
product_family,powerfurl,application,low_friction_rigging,authority_supports_commercial,6,30
product_family,powerfurl,application,sheet_handling,authority_supports_commercial,6,30
product_family,powerfurl,engineering_concept,lightweight,authority_supports_commercial,6,30
product_family,powerfurl,engineering_concept,low_friction,authority_supports_commercial,6,30
product_family,powerfurl,material,stainless_steel,authority_supports_commercial,6,30
product_family,powerfurl,product_family,dogbone,authority_supports_commercial,6,30
product_family,powerfurl,product_family,morfblock,authority_supports_commercial,6,30
product_family,powerfurl,product_family,morfring,authority_supports_commercial,6,30
product_family,powerfurl,product_family,padeye,authority_supports_commercial,6,30
product_family,powerfurl,product_family,shackle,authority_supports_commercial,6,30
product_family,mreel,application,deck_attachment,general_internal_link,29,29
product_family,powerfurl,engineering_concept,high_load,general_internal_link,29,29
application,custom_engineering,material,stainless_steel,general_internal_link,28,28
application,deck_attachment,material,aluminium,product_related_to_product,28,28
application,deck_attachment,product_family,dogbone,product_related_to_product,28,28
application,furling_systems,engineering_concept,high_load,product_related_to_product,28,28
application,sail_handling,intent,technical,product_related_to_product,28,28
engineering_concept,high_load,application,furling_systems,product_related_to_product,28,28
engineering_concept,lightweight,intent,technical,product_related_to_product,28,28
engineering_concept,lightweight,product_family,dogbone,product_related_to_product,28,28
intent,technical,application,sail_handling,product_related_to_product,28,28
intent,technical,engineering_concept,lightweight,product_related_to_product,28,28
material,aluminium,application,deck_attachment,product_related_to_product,28,28
material,dyneema,intent,technical,general_internal_link,28,28
product_family,dogbone,application,deck_attachment,product_related_to_product,28,28
product_family,dogbone,engineering_concept,lightweight,general_internal_link,28,28
product_family,dogbone,engineering_concept,lightweight,product_related_to_product,28,28
product_family,mloop,engineering_concept,marine_hardware,general_internal_link,28,28
product_family,mloop,product_family,padeye,general_internal_link,28,28
product_family,morfwing,intent,technical,general_internal_link,28,28
product_family,mreel,intent,technical,general_internal_link,28,28
engineering_concept,marine_hardware,application,deck_attachment,product_links_to_parent,14,28
engineering_concept,marine_hardware,application,low_friction_rigging,product_links_to_parent,14,28
engineering_concept,marine_hardware,application,sheet_handling,product_links_to_parent,14,28
engineering_concept,marine_hardware,product_family,morfblock,product_links_to_parent,14,28
engineering_concept,marine_hardware,product_family,morfring,product_links_to_parent,14,28
engineering_concept,marine_hardware,product_family,padeye,product_links_to_parent,14,28
engineering_concept,marine_hardware,product_family,powerfurl,product_links_to_parent,14,28
engineering_concept,marine_hardware,product_family,shackle,product_links_to_parent,14,28
material,dyneema,application,deck_attachment,product_links_to_parent,14,28
material,dyneema,application,low_friction_rigging,product_links_to_parent,14,28
material,dyneema,application,sheet_handling,product_links_to_parent,14,28
material,dyneema,product_family,dogbone,product_links_to_parent,14,28
material,dyneema,product_family,morfblock,product_links_to_parent,14,28
material,dyneema,product_family,morfring,product_links_to_parent,14,28
material,dyneema,product_family,padeye,product_links_to_parent,14,28
material,dyneema,product_family,powerfurl,product_links_to_parent,14,28
material,dyneema,product_family,shackle,product_links_to_parent,14,28
application,sail_handling,intent,brand,pillar_routes_to_commercial,7,28
application,sail_handling,intent,commercial,pillar_routes_to_commercial,7,28
material,titanium,product_family,dogbone,category_supports_product,7,28
application,sheet_handling,engineering_concept,high_load,general_internal_link,27,27
engineering_concept,cnc_machining,product_family,morfblock,general_internal_link,27,27
intent,support,engineering_concept,breaking_load,general_internal_link,27,27
material,carbon,intent,brand,general_internal_link,27,27
application,custom_engineering,product_family,mreel,general_internal_link,26,26
application,furling_systems,material,aluminium,general_internal_link,26,26
application,low_friction_rigging,application,sheet_handling,product_related_to_product,26,26
