source_url,target_url,source_role,target_role,relationship_type,relationship_weight,relationship_source
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/dogbone,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/morfblock,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/morfring,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/morfwing,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/padeye,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/partner,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/powerfurl,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/shackle,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/shop,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/shop/category/dogbone-25,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/shop/category/mloop-34,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/shop/category/morfblock-17,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/shop/category/morfring-26,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/shop/category/padeye-27,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/shop/category/powerfurl-1,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/shop/category/shackle-24,product,category,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/solutions,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/use,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/website/social/instagram,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/website/social/linkedin,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,product,product,product_related_to_product,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/about,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/blog,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/contactus,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/custom,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/dogbone,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467,product,product,product_related_to_product,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/morfblock,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/morfring,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/morfwing,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/padeye,product,landing,product_links_to_parent,2,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/partner,product,general,general_internal_link,1,crawl_internal_link
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/powerfurl,product,landing,product_links_to_parent,2,crawl_internal_link
