priority,url,page_type,business_priority,indexable,status_code,canonical,robots,indexation_risks
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-01-performance-sailing-block-12326,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-light-01-performance-sailing-block-12326,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-02-high-load-sailing-block-12328,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-light-02-high-load-sailing-block-12328,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-02-performance-sailing-block-12330,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-light-02-performance-sailing-block-12330,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-high-load-sailing-block-12332,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-light-03-high-load-sailing-block-12332,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-performance-sailing-block-12334,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-light-03-performance-sailing-block-12334,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-high-load-sailing-block-12336,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-light-04-high-load-sailing-block-12336,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-performance-sailing-block-12338,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-light-04-performance-sailing-block-12338,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-05-high-load-sailing-block-12340,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-light-05-high-load-sailing-block-12340,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-05-performance-sailing-block-12342,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-light-05-performance-sailing-block-12342,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-06-high-load-sailing-block-12344,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-light-06-high-load-sailing-block-12344,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-06-performance-sailing-block-12346,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-light-06-performance-sailing-block-12346,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-01-high-load-sailing-block-12364,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-xl-01-high-load-sailing-block-12364,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-01-performance-sailing-block-12366,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-xl-01-performance-sailing-block-12366,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-02-high-load-sailing-block-12372,product,high,True,200,https://www.morfrac.com/es/shop/morfblock-xl-02-high-load-sailing-block-12372,,canonical_mismatch; multilingual_duplicate_candidate
CRITICAL,https://www.morfrac.com/shop/category/morfblock-morfblock-light-18,product,high,True,200,https://www.morfrac.com/shop/category/morfblock-morfblock-light-18,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/morfblock-morfblock-ultra-38,product,high,True,200,https://www.morfrac.com/shop/category/morfblock-max-38,,canonical_mismatch; category_product_overlap
CRITICAL,https://www.morfrac.com/shop/category/morfblock-morfblock-wood-20,product,high,True,200,https://www.morfrac.com/shop/category/morfblock-morfblock-wood-20,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/morfblock-morfblock-xl-21,product,high,True,200,https://www.morfrac.com/shop/category/morfblock-morfblock-xl-21,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-powerfurl-singleline-30,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-single-line-30,,canonical_mismatch; category_product_overlap
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-tdi-22,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-tdi-22,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-tdis-23,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-tdi-s-23,,canonical_mismatch; category_product_overlap
CRITICAL,https://www.morfrac.com/shop/category/custom-33,product,high,True,200,https://www.morfrac.com/shop/category/custom-33,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/dogbone-dogbone-al-28,product,high,True,200,https://www.morfrac.com/shop/category/dogbone-dogbone-al-28,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/dogbone-dogbone-ti-29,product,high,True,200,https://www.morfrac.com/shop/category/dogbone-dogbone-ti-29,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/mainsail-systems-39,product,high,True,200,https://www.morfrac.com/shop/category/mainsail-systems-39,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/morfblock-max-38,product,high,True,200,https://www.morfrac.com/shop/category/morfblock-max-38,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/morfblock-morfblock-snatch-19,product,high,True,200,https://www.morfrac.com/shop/category/morfblock-morfblock-snatch-19,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/mreel-35,product,high,True,200,https://www.morfrac.com/shop/category/mreel-35,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-continuous-line-31,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-continuous-line-31,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-eight-10,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-eight-10,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-four-11,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-four-11,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-one-12,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-one-12,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-six-13,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-six-13,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-ten-14,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-ten-14,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-three-15,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-three-15,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-twelve-16,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-twelve-16,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-single-line-30,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-single-line-30,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-tdi-s-23,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-tdi-s-23,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-underdeck-32,product,high,True,200,https://www.morfrac.com/shop/category/powerfurl-underdeck-32,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/ti-shackle-24,product,high,True,200,https://www.morfrac.com/shop/category/ti-shackle-24,,category_product_overlap; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-1/page/2,product,high,False,200,https://www.morfrac.com/shop/category/powerfurl-1/page/2,noindex,category_product_overlap; likely_low_value_indexable; noindex; pagination_indexation; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-1/page/3,product,high,False,200,https://www.morfrac.com/shop/category/powerfurl-1/page/3,noindex,category_product_overlap; likely_low_value_indexable; noindex; pagination_indexation; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-1/page/4,product,high,False,200,https://www.morfrac.com/shop/category/powerfurl-1/page/4,noindex,category_product_overlap; likely_low_value_indexable; noindex; pagination_indexation; self_canonical
CRITICAL,https://www.morfrac.com/shop/category/powerfurl-1/page/5,product,high,False,200,https://www.morfrac.com/shop/category/powerfurl-1/page/5,noindex,category_product_overlap; likely_low_value_indexable; noindex; pagination_indexation; self_canonical
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-drum-bottom-furling-unit-12529,product,high,True,200,https://www.morfrac.com/shop/powerfurl-one-drum-bottom-furling-unit-12529,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-furling-kit-12530,product,high,True,200,https://www.morfrac.com/shop/powerfurl-one-furling-kit-12530,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-furling-kit-shackles-12531,product,high,True,200,https://www.morfrac.com/shop/powerfurl-one-furling-kit-shackles-12531,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-head-swivel-unit-12533,product,high,True,200,https://www.morfrac.com/shop/powerfurl-one-head-swivel-unit-12533,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-lashing-fitting-12524,product,high,True,200,https://www.morfrac.com/shop/powerfurl-one-lashing-fitting-12524,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-thimble-12528,product,high,True,200,https://www.morfrac.com/shop/powerfurl-one-thimble-12528,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-top-down-furling-kit-12825,product,high,True,200,https://www.morfrac.com/shop/powerfurl-one-top-down-furling-kit-12825,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-top-down-integrator-12534,product,high,True,200,https://www.morfrac.com/shop/powerfurl-one-top-down-integrator-12534,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-continuous-line-furling-kit-12564,product,high,True,200,https://www.morfrac.com/shop/powerfurl-ten-continuous-line-furling-kit-12564,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-drum-bottom-furling-unit-12560,product,high,True,200,https://www.morfrac.com/shop/powerfurl-ten-drum-bottom-furling-unit-12560,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-fork-2-1-fitting-12562,product,high,True,200,https://www.morfrac.com/shop/powerfurl-ten-fork-2-1-fitting-12562,,canonical_mismatch
CRITICAL,https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-fork-fitting-12561,product,high,True,200,https://www.morfrac.com/shop/powerfurl-ten-fork-fitting-12561,,canonical_mismatch
