semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts,gap_type,gap_score,recommended_action
1,powerfurl,16,16,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"unit, powerfurl, furling, drum, 10t swl, 10t, powerfurl drum, swl, unit powerfurl, unit morfrac",{'product': 16},{'powerfurl': 16},Missing technical authority content,155.0,Create technical guide content supporting the powerfurl product family.
0,morfblock,30,30,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"morfblock light, light, lightweight sailing, sailing block, block, sailing, morfblock, swl, lightweight, high",{'product': 30},{'morfblock': 30},Missing technical authority content,145.0,Create technical guide content supporting the morfblock product family.
8,powerfurl,24,24,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"kit, furling, powerfurl, 5t, 5t swl, furling kit, swl, swl morfrac, morfrac powerfurl, powerfurl kit",{'product': 24},"{'powerfurl': 21, 'shackle': 3}",Missing technical authority content,145.0,Create technical guide content supporting the powerfurl product family.
2,morfblock,22,20,2,0,0,0,0,0.0,FRAGMENTED_TOPIC,"xl, sailing block, morfblock, block, morfblock xl, sailing, xl sailing, morfblock max, max, swl","{'product': 20, 'category': 2}",{'morfblock': 22},Missing technical authority content,125.0,Create technical guide content supporting the morfblock product family.
11,morfblock,8,8,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"wood, wooden sailing, wooden, morfblock wood, high load, sailing block, block, morfblock, swl wooden, sailing",{'product': 8},{'morfblock': 8},Missing category support,74.0,Create or improve category structure for morfblock pages.
9,powerfurl,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"fork, powerfurl fork, fitting, 10t swl, 10t, fork fitting, powerfurl, fork fork, swl, swl morfrac",{'product': 6},{'powerfurl': 6},Missing category support,68.0,Create or improve category structure for powerfurl pages.
