query,page,clicks,impressions,ctr_percent,position,query_type
dogbone sailing,https://www.morfrac.com/dogbone,0.0,6.0,0.0,8.33,Non-branded
dogbone sailing,https://www.morfrac.com/es/dogbone,0.0,2.0,0.0,6.0,Non-branded
dogbone shackle,https://www.morfrac.com/dogbone,0.0,8.0,0.0,7.0,Non-branded
dogbone shape,https://www.morfrac.com/dogbone,0.0,1.0,0.0,47.0,Non-branded
dogbones,https://www.morfrac.com/dogbone,0.0,93.0,0.0,5.76,Non-branded
dogbones,https://www.morfrac.com/es/dogbone,0.0,30.0,0.0,3.03,Non-branded
dw dog bone,https://www.morfrac.com/es/dogbone,0.0,1.0,0.0,11.0,Non-branded
ez furl,https://www.morfrac.com/powerfurl,0.0,1.0,0.0,33.0,Non-branded
farr performance,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,3.0,0.0,7.67,Non-branded
farr x2,https://www.morfrac.com/es/blog/blog-1/farr-x2-5,0.0,1.0,0.0,7.0,Non-branded
farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,31.0,0.0,7.32,Non-branded
farr x2 for sale,https://www.morfrac.com/es/blog/blog-1/farr-x2-5,0.0,1.0,0.0,6.0,Non-branded
fff shop,https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-05-12386,0.0,1.0,0.0,44.0,Non-branded
fixafrac,https://www.morfrac.com/,0.0,5.0,0.0,26.6,Non-branded
fixafrac,https://www.morfrac.com/solutions,0.0,13.0,0.0,24.31,Non-branded
fomarl,https://www.morfrac.com/powerfurl,0.0,2.0,0.0,16.0,Non-branded
four ti,https://www.morfrac.com/shop/shackle10-12511,0.0,2.0,0.0,5.0,Non-branded
friction ring,https://www.morfrac.com/shop/category/morfring-26,0.0,1.0,0.0,2.0,Non-branded
friction ring,https://www.morfrac.com/shop/morfring-15-12476,0.0,1.0,0.0,2.0,Non-branded
gripde,https://www.morfrac.com/es/blog/blog-1/mas-agarre-con-el-soft-grip-de-morfrac-1,0.0,4.0,0.0,7.25,Non-branded
grã¶ãÿtes shopping center amsterdam,https://www.morfrac.com/es/blog/blog-1/presentamos-morfwing-31,0.0,1.0,0.0,81.0,Non-branded
helice de proa,https://www.morfrac.com/es/blog/historias-4/helice-de-proa-9,0.0,2.0,0.0,5.0,Non-branded
helices de proa,https://www.morfrac.com/es/blog/historias-4/helice-de-proa-9,0.0,2.0,0.0,2.0,Non-branded
homafras,https://www.morfrac.com/,0.0,1.0,0.0,10.0,Non-branded
hélice de proa,https://www.morfrac.com/es/blog/historias-4/helice-de-proa-9,0.0,1.0,0.0,2.0,Non-branded
kevlar dog bone,https://www.morfrac.com/dogbone,0.0,21.0,0.0,8.1,Non-branded
loop ma,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,1.0,0.0,47.0,Non-branded
m loop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,0.0,3.0,0.0,16.0,Non-branded
m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,20.0,0.0,10.2,Non-branded
m-loop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,0.0,1.0,0.0,11.0,Non-branded
m-loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,5.0,0.0,7.0,Non-branded
mapfrac,https://www.morfrac.com/,0.0,2.0,0.0,49.0,Non-branded
