query,page,clicks,impressions,ctr_percent,position,query_type
| morfrac,https://www.morfrac.com/,8.0,53.0,15.09,1.0,Branded
morfblock,https://www.morfrac.com/morfblock,6.0,37.0,16.22,3.0,Branded
dogbone,https://www.morfrac.com/es/dogbone,3.0,123.0,2.44,6.99,Non-branded
morf block,https://www.morfrac.com/morfblock,3.0,44.0,6.82,1.0,Branded
morfrac systems,https://www.morfrac.com/,3.0,36.0,8.33,1.0,Branded
d-shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,2.0,15.0,13.33,17.2,Non-branded
morfrac systems,https://www.morfrac.com/es,2.0,3.0,66.67,1.0,Branded
titanium shackles,https://www.morfrac.com/shackle,2.0,14.0,14.29,8.29,Non-branded
dog bone soft shackle,https://www.morfrac.com/dogbone,1.0,10.0,10.0,9.7,Non-branded
dogbone shackle,https://www.morfrac.com/dogbone,1.0,6.0,16.67,4.5,Non-branded
dogobones,https://www.morfrac.com/es/dogbone,1.0,1.0,100.0,1.0,Non-branded
mofrac,https://www.morfrac.com/,1.0,2.0,50.0,4.0,Non-branded
morfac,https://www.morfrac.com/,1.0,13.0,7.69,3.54,Branded
morfrac,https://www.morfrac.com/es,1.0,32.0,3.12,1.03,Branded
morfrac,https://www.morfrac.com/shop,1.0,53.0,1.89,1.0,Branded
mreel,https://www.morfrac.com/shop/mreel-three-rope-reeler-12628,1.0,80.0,1.25,4.86,Branded
titanium shackle,https://www.morfrac.com/shackle,1.0,6.0,16.67,10.0,Non-branded
02 xl,https://www.morfrac.com/es/shop/morfblock-xl-02-performance-sailing-block-12374,0.0,3.0,0.0,16.0,Non-branded
1.5t shackle,https://www.morfrac.com/shop/ti-shackle-grade5-titanium-shackle-12526,0.0,1.0,0.0,10.0,Non-branded
10pack,https://www.morfrac.com/shop/morfring-15-10pack-friction-ring-12898,0.0,1.0,0.0,23.0,Non-branded
15t shackle,https://www.morfrac.com/es/shop/powerfurl-six-ti-shackle-12541,0.0,1.0,0.0,12.0,Non-branded
almacenadores,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-tambor-30,0.0,2.0,0.0,2.0,Non-branded
aluminio acero inoxidable,https://www.morfrac.com/es/blog/historias-4/aluminio-titanio-o-acero-inoxidable-39,0.0,2.0,0.0,27.5,Non-branded
aluminio titanio,https://www.morfrac.com/es/blog/historias-4/aluminio-titanio-o-acero-inoxidable-39,0.0,3.0,0.0,10.67,Non-branded
aluminium titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,1.0,0.0,1.0,Non-branded
aluminum vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,23.0,0.0,5.48,Non-branded
aluminum vs steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,1.0,0.0,42.0,Non-branded
aluminum vs titanium vs stainless steel,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,9.0,0.0,5.44,Non-branded
bitte um bilder,https://www.morfrac.com/morfwing,0.0,1.0,0.0,9.0,Non-branded
camfrac,https://www.morfrac.com/,0.0,6.0,0.0,35.33,Non-branded
camfrac,https://www.morfrac.com/about,0.0,10.0,0.0,38.1,Non-branded
camfrac,https://www.morfrac.com/solutions,0.0,1.0,0.0,84.0,Non-branded
comparison of stainless steel vs. titanium hardware for boats?,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,1.0,0.0,9.0,Non-branded
conurban marine,https://www.morfrac.com/es/partner,0.0,1.0,0.0,9.0,Non-branded
conurban marine,https://www.morfrac.com/partner,0.0,11.0,0.0,7.64,Non-branded
custom efl frames,https://www.morfrac.com/custom,0.0,2.0,0.0,45.0,Non-branded
custom shackles,https://www.morfrac.com/shackle,0.0,1.0,0.0,10.0,Non-branded
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,15.0,0.0,16.4,Non-branded
de frac,https://www.morfrac.com/,0.0,1.0,0.0,13.0,Non-branded
de walle sails,https://www.morfrac.com/blog,0.0,2.0,0.0,7.0,Non-branded
deck pad eye,https://www.morfrac.com/padeye,0.0,7.0,0.0,4.0,Non-branded
dog a bone,https://www.morfrac.com/dogbone,0.0,1.0,0.0,1.0,Non-branded
dog bone,https://www.morfrac.com/dogbone,0.0,23.0,0.0,4.13,Non-branded
dog bone,https://www.morfrac.com/es/dogbone,0.0,21.0,0.0,7.76,Non-branded
dog bone bracket,https://www.morfrac.com/dogbone,0.0,1.0,0.0,38.0,Non-branded
dog bone carriers,https://www.morfrac.com/dogbone,0.0,1.0,0.0,42.0,Non-branded
dog bone connectors,https://www.morfrac.com/dogbone,0.0,1.0,0.0,41.0,Non-branded
dog bone corners,https://www.morfrac.com/dogbone,0.0,1.0,0.0,46.0,Non-branded
dog bone coupler,https://www.morfrac.com/dogbone,0.0,1.0,0.0,63.0,Non-branded
dog bone hardware,https://www.morfrac.com/dogbone,0.0,1.0,0.0,11.0,Non-branded
