query,page,clicks,impressions,ctr_percent,position,query_type
| morfrac,https://www.morfrac.com/,13.0,51.0,25.49,1.0,Branded
morfrac systems,https://www.morfrac.com/,6.0,40.0,15.0,1.0,Branded
morfac,https://www.morfrac.com/,3.0,15.0,20.0,2.33,Branded
morfblock,https://www.morfrac.com/morfblock,3.0,26.0,11.54,2.65,Branded
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,2.0,55.0,3.64,7.89,Non-branded
morf block,https://www.morfrac.com/morfblock,2.0,38.0,5.26,1.0,Branded
morfrac systems,https://www.morfrac.com/es,2.0,3.0,66.67,1.0,Branded
dogbone shackle,https://www.morfrac.com/dogbone,1.0,11.0,9.09,6.73,Non-branded
kakšne so cene,https://www.morfrac.com/shop,1.0,1.0,100.0,6.0,Non-branded
mofrac,https://www.morfrac.com/,1.0,8.0,12.5,3.12,Non-branded
morf block,https://www.morfrac.com/shop/morfblock-light-4-hl-12823,1.0,2.0,50.0,54.0,Branded
morfrac,https://www.morfrac.com/es,1.0,11.0,9.09,1.09,Branded
morfrac,https://www.morfrac.com/es/shop,1.0,10.0,10.0,1.1,Branded
morfrac,https://www.morfrac.com/shop,1.0,48.0,2.08,1.12,Branded
morfrac systems,https://www.morfrac.com/powerfurl,1.0,40.0,2.5,1.0,Branded
sailing dogbone,https://www.morfrac.com/dogbone,1.0,47.0,2.13,22.43,Non-branded
titanium shackle,https://www.morfrac.com/es/shop/shackle6-12526,1.0,1.0,100.0,11.0,Non-branded
"""orza"" sailing command",https://www.morfrac.com/es/morfwing,0.0,7.0,0.0,4.0,Non-branded
02 xl,https://www.morfrac.com/es/shop/morfblock-xl-02-performance-sailing-block-12374,0.0,1.0,0.0,13.0,Non-branded
20mm ring,https://www.morfrac.com/shop/morfring-20-12477,0.0,1.0,0.0,28.0,Non-branded
3 shackle,https://www.morfrac.com/es/shop/category/ti-shackle-24,0.0,1.0,0.0,3.0,Non-branded
3d printed molds uk,https://www.morfrac.com/blog/stories-4/3d-printed-molds-10,0.0,4.0,0.0,24.75,Non-branded
6082-t6,https://www.morfrac.com/dogbone,0.0,1.0,0.0,1.0,Non-branded
accessories dog bone,https://www.morfrac.com/dogbone,0.0,1.0,0.0,54.0,Non-branded
almacenadores,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-tambor-30,0.0,5.0,0.0,1.8,Non-branded
bild,https://www.morfrac.com/padeye,0.0,1.0,0.0,8.0,Non-branded
bowthruster,https://www.morfrac.com/blog/stories-4/bowthruster-9,0.0,1.0,0.0,58.0,Non-branded
camfrac,https://www.morfrac.com/,0.0,1.0,0.0,11.0,Non-branded
camfrac,https://www.morfrac.com/about,0.0,3.0,0.0,41.0,Non-branded
cancamo pasante,https://www.morfrac.com/es/padeye,0.0,6.0,0.0,8.83,Non-branded
conurban marine,https://www.morfrac.com/partner,0.0,2.0,0.0,8.5,Non-branded
custom efl frames,https://www.morfrac.com/custom,0.0,4.0,0.0,41.75,Non-branded
d schakle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,1.0,0.0,9.0,Non-branded
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,7.0,0.0,12.43,Non-branded
d-shackles,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,1.0,0.0,10.0,Non-branded
