query,page,clicks,impressions,ctr_percent,position,query_type
| morfrac,https://www.morfrac.com/,16.0,53.0,30.19,1.0,Branded
morfrac,https://www.morfrac.com/es,5.0,11.0,45.45,1.0,Branded
dog bone rigging,https://www.morfrac.com/dogbone,2.0,23.0,8.7,4.09,Non-branded
morfac,https://www.morfrac.com/es,2.0,6.0,33.33,1.0,Branded
morfblock,https://www.morfrac.com/morfblock,2.0,21.0,9.52,3.38,Branded
morfrac systems,https://www.morfrac.com/,2.0,36.0,5.56,1.0,Branded
soft padeye,https://www.morfrac.com/padeye,2.0,15.0,13.33,8.87,Non-branded
titanium shackle,https://www.morfrac.com/shackle,2.0,20.0,10.0,9.4,Non-branded
aluminum vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,1.0,20.0,5.0,5.55,Non-branded
dog bone anchor,https://www.morfrac.com/shop/dogbone-25-7-aluminium-12460,1.0,1.0,100.0,1.0,Non-branded
dogbone,https://www.morfrac.com/dogbone,1.0,108.0,0.93,9.12,Non-branded
morf block,https://www.morfrac.com/morfblock,1.0,35.0,2.86,1.0,Branded
morfblock,https://www.morfrac.com/shop/morfblock-light-03-performance-sailing-block-12334,1.0,2.0,50.0,5.5,Branded
morfrac,https://www.morfrac.com/about,1.0,9.0,11.11,1.0,Branded
morfrac,https://www.morfrac.com/contactus,1.0,6.0,16.67,2.67,Branded
morfrac,https://www.morfrac.com/shop,1.0,52.0,1.92,1.0,Branded
morfrac systems,https://www.morfrac.com/es/shop,1.0,2.0,50.0,1.0,Branded
padeye,https://www.morfrac.com/padeye,1.0,70.0,1.43,10.79,Non-branded
padeyes,https://www.morfrac.com/padeye,1.0,184.0,0.54,15.7,Non-branded
sailing dog bone,https://www.morfrac.com/dogbone,1.0,4.0,25.0,10.25,Non-branded
shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,1.0,4.0,25.0,49.5,Non-branded
wat is de prijs ervan,https://www.morfrac.com/shop/powerfurl-one-top-down-integrator-12534,1.0,1.0,100.0,4.0,Non-branded
1.5t shackle,https://www.morfrac.com/shop/ti-shackle-grade5-titanium-shackle-12526,0.0,4.0,0.0,10.75,Non-branded
3 4 shackle,https://www.morfrac.com/es/shop/powerfurl-four-ti-shackle-12511,0.0,1.0,0.0,44.0,Non-branded
60-23,https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467,0.0,2.0,0.0,2.5,Non-branded
60xl,https://www.morfrac.com/shop/morfring-60xl-12828,0.0,1.0,0.0,30.0,Non-branded
6mm shackle,https://www.morfrac.com/es/shop/ti-shackle-grade5-titanium-shackle-12526,0.0,1.0,0.0,10.0,Non-branded
6mm shackle,https://www.morfrac.com/shop/ti-shackle-grade5-titanium-shackle-12526,0.0,1.0,0.0,13.0,Non-branded
70xl,https://www.morfrac.com/shop/morfring-70xl-ptfe-friction-ring-12484,0.0,1.0,0.0,17.0,Non-branded
almacenadores,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-tambor-30,0.0,2.0,0.0,1.0,Non-branded
aluminium vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,5.0,0.0,3.0,Non-branded
aluminium vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,2.0,0.0,1.0,Non-branded
aluminum vs steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,4.0,0.0,11.0,Non-branded
aluminum vs titanium apple watch,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,1.0,0.0,4.0,Non-branded
aluminum vs titanium vs stainless steel,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,16.0,0.0,4.44,Non-branded
block 05,https://www.morfrac.com/shop/morfblock-light-05-performance-sailing-block-12342,0.0,1.0,0.0,7.0,Non-branded
camfrac,https://www.morfrac.com/,0.0,17.0,0.0,44.65,Non-branded
camfrac,https://www.morfrac.com/contactus,0.0,1.0,0.0,93.0,Non-branded
camphor cargo hold,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31,0.0,1.0,0.0,39.0,Non-branded
claude,https://www.morfrac.com/powerfurl,0.0,1.0,0.0,20.0,Non-branded
climbing dogbone,https://www.morfrac.com/dogbone,0.0,1.0,0.0,47.0,Non-branded
comparison of stainless steel vs. titanium hardware for boats?,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,4.0,0.0,6.25,Non-branded
conurban marine,https://www.morfrac.com/partner,0.0,6.0,0.0,7.33,Non-branded
custom efl frames,https://www.morfrac.com/custom,0.0,5.0,0.0,48.6,Non-branded
custom shackles,https://www.morfrac.com/shackle,0.0,15.0,0.0,9.67,Non-branded
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,15.0,0.0,19.53,Non-branded
d-shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,16.0,0.0,17.88,Non-branded
deck pad eye,https://www.morfrac.com/padeye,0.0,15.0,0.0,8.93,Non-branded
deck pad eyes,https://www.morfrac.com/padeye,0.0,1.0,0.0,1.0,Non-branded
dog bone,https://www.morfrac.com/es/dogbone,0.0,3.0,0.0,10.33,Non-branded
dog bone bit,https://www.morfrac.com/es/dogbone,0.0,1.0,0.0,25.0,Non-branded
dog bone carriers,https://www.morfrac.com/dogbone,0.0,1.0,0.0,37.0,Non-branded
dog bone connector,https://www.morfrac.com/dogbone,0.0,1.0,0.0,45.0,Non-branded
dog bone corners,https://www.morfrac.com/dogbone,0.0,1.0,0.0,45.0,Non-branded
