query,page,clicks,impressions,ctr_percent,position,query_type
| morfrac,https://www.morfrac.com/,11.0,49.0,22.45,1.0,Branded
morfrac systems,https://www.morfrac.com/,8.0,42.0,19.05,1.02,Branded
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,3.0,58.0,5.17,8.09,Non-branded
morfblock,https://www.morfrac.com/morfblock,3.0,54.0,5.56,3.09,Branded
morf block,https://www.morfrac.com/morfblock,2.0,37.0,5.41,1.0,Branded
morfac,https://www.morfrac.com/,2.0,16.0,12.5,2.44,Branded
morfrac,https://www.morfrac.com/es,2.0,35.0,5.71,1.03,Branded
dog bone shackle,https://www.morfrac.com/dogbone,1.0,22.0,4.55,11.45,Non-branded
dog bone soft shackle,https://www.morfrac.com/dogbone,1.0,8.0,12.5,10.5,Non-branded
dogobones,https://www.morfrac.com/es/dogbone,1.0,1.0,100.0,1.0,Non-branded
morfac,https://www.morfrac.com/es,1.0,1.0,100.0,2.0,Branded
morfrac,https://www.morfrac.com/contactus,1.0,1.0,100.0,1.0,Branded
morfrac,https://www.morfrac.com/shop,1.0,49.0,2.04,1.12,Branded
morfrac systems,https://www.morfrac.com/es/shop,1.0,3.0,33.33,1.0,Branded
powerfurl,https://www.morfrac.com/powerfurl,1.0,57.0,1.75,1.47,Branded
powerfurl,https://www.morfrac.com/shop/category/powerfurl-1,1.0,57.0,1.75,2.53,Branded
02 xl,https://www.morfrac.com/es/shop/morfblock-xl-02-performance-sailing-block-12374,0.0,2.0,0.0,17.0,Non-branded
1.5t shackle,https://www.morfrac.com/shop/ti-shackle-grade5-titanium-shackle-12526,0.0,1.0,0.0,10.0,Non-branded
60-23,https://www.morfrac.com/shop/dogbone60-23-12467,0.0,1.0,0.0,2.0,Non-branded
70xl,https://www.morfrac.com/shop/morfring-70xl-ptfe-friction-ring-12484,0.0,2.0,0.0,22.5,Non-branded
almacenadores,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-tambor-30,0.0,3.0,0.0,2.0,Non-branded
bild,https://www.morfrac.com/padeye,0.0,1.0,0.0,8.0,Non-branded
brofmxeulatiskenpf,https://www.morfrac.com/es,0.0,3.0,0.0,5.67,Non-branded
camfrac,https://www.morfrac.com/,0.0,10.0,0.0,34.5,Non-branded
camfrac,https://www.morfrac.com/about,0.0,7.0,0.0,46.14,Non-branded
camfrac,https://www.morfrac.com/solutions,0.0,1.0,0.0,84.0,Non-branded
