query,page,clicks,impressions,ctr_percent,position,query_type
| morfrac,https://www.morfrac.com/,15.0,61.0,24.59,1.0,Branded
morfrac systems,https://www.morfrac.com/,3.0,44.0,6.82,1.0,Branded
morfrac,https://www.morfrac.com/es/contactus,2.0,11.0,18.18,1.0,Branded
dogbone rigging,https://www.morfrac.com/dogbone,1.0,1.0,100.0,1.0,Non-branded
dogbones,https://www.morfrac.com/dogbone,1.0,106.0,0.94,20.83,Non-branded
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,1.0,48.0,2.08,6.83,Non-branded
kakšne so cene,https://www.morfrac.com/shop,1.0,1.0,100.0,6.0,Non-branded
morf block,https://www.morfrac.com/morfblock,1.0,44.0,2.27,1.0,Branded
morf block,https://www.morfrac.com/shop/morfblock-light-4-hl-12823,1.0,5.0,20.0,59.0,Branded
morfac,https://www.morfrac.com/,1.0,24.0,4.17,2.5,Branded
morfblock,https://www.morfrac.com/shop/morfblock-wood-08-12388,1.0,2.0,50.0,5.0,Branded
morfrac systems,https://www.morfrac.com/powerfurl,1.0,44.0,2.27,1.05,Branded
powerfurl,https://www.morfrac.com/powerfurl,1.0,65.0,1.54,1.02,Branded
sailing dogbone,https://www.morfrac.com/dogbone,1.0,44.0,2.27,28.34,Non-branded
1 shackle,https://www.morfrac.com/es/shop/powerfurl1-kit-shackle-12531,0.0,1.0,0.0,17.0,Non-branded
20mm ring,https://www.morfrac.com/shop/morfring-20-12477,0.0,1.0,0.0,28.0,Non-branded
3 shackle,https://www.morfrac.com/es/shop/category/ti-shackle-24,0.0,1.0,0.0,3.0,Non-branded
3d printed molds uk,https://www.morfrac.com/blog/stories-4/3d-printed-molds-10,0.0,7.0,0.0,23.0,Non-branded
60-23,https://www.morfrac.com/es/shop/dogbone60-23-12467,0.0,3.0,0.0,9.0,Non-branded
60-23,https://www.morfrac.com/shop/dogbone60-23-12467,0.0,2.0,0.0,5.5,Non-branded
6082-t6,https://www.morfrac.com/dogbone,0.0,1.0,0.0,1.0,Non-branded
70xl,https://www.morfrac.com/shop/morfring-70xl-12484,0.0,1.0,0.0,29.0,Non-branded
ahora snatch,https://www.morfrac.com/es/shop/snatch-ring-12442,0.0,2.0,0.0,11.5,Non-branded
bart bartolome,https://www.morfrac.com/bart,0.0,1.0,0.0,23.0,Non-branded
bowthruster,https://www.morfrac.com/blog/stories-4/bowthruster-9,0.0,2.0,0.0,59.5,Non-branded
camfrac,https://www.morfrac.com/,0.0,1.0,0.0,11.0,Non-branded
cancamo pasante,https://www.morfrac.com/es/padeye,0.0,8.0,0.0,8.75,Non-branded
como se llama,https://www.morfrac.com/es/dogbone,0.0,1.0,0.0,15.0,Non-branded
d shackel,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,2.0,0.0,14.5,Non-branded
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,12.0,0.0,11.08,Non-branded
deck pad eye,https://www.morfrac.com/padeye,0.0,2.0,0.0,1.5,Non-branded
