query,page,clicks,impressions,ctr_percent,expected_ctr,ctr_gap,position,query_type,intent,page_type,issue_count,title_length,meta_description_length,issues,opportunity_score,opportunity_level
dogbone,https://www.morfrac.com/dogbone,0.0,244.0,0.0,3.0,3.0,7.66,Non-branded,commercial,landing,0,19.0,134.0,,135,VERY HIGH
dogbones,https://www.morfrac.com/dogbone,0.0,43.0,0.0,3.5,3.5,6.21,Non-branded,commercial,landing,0,19.0,134.0,,115,VERY HIGH
dogbone,https://www.morfrac.com/es/dogbone,3.0,123.0,2.44,3.5,1.06,6.99,Non-branded,commercial,landing,0,19.0,134.0,,115,VERY HIGH
deck pad eye,https://www.morfrac.com/padeye,0.0,7.0,0.0,7.0,7.0,4.0,Non-branded,commercial,landing,0,18.0,133.0,,105,VERY HIGH
dog bone rigging,https://www.morfrac.com/dogbone,0.0,14.0,0.0,4.0,4.0,5.5,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dog bone,https://www.morfrac.com/dogbone,0.0,23.0,0.0,5.0,5.0,4.13,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dogbone rigging,https://www.morfrac.com/dogbone,0.0,11.0,0.0,3.5,3.5,6.18,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dog bone,https://www.morfrac.com/es/dogbone,0.0,21.0,0.0,3.0,3.0,7.76,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,36.0,0.0,2.5,2.5,8.44,Non-branded,commercial,blog,0,0.0,0.0,,100,VERY HIGH
farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,28.0,0.0,2.0,2.0,9.68,Non-branded,commercial,blog,0,0.0,0.0,,100,VERY HIGH
m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,32.0,0.0,1.0,1.0,10.06,Non-branded,commercial,product,0,44.0,158.0,,90,HIGH
dog bone shackle,https://www.morfrac.com/dogbone,0.0,10.0,0.0,1.0,1.0,13.8,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
dogbone carriers,https://www.morfrac.com/dogbone,0.0,17.0,0.0,1.0,1.0,13.18,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
dog bone soft shackle,https://www.morfrac.com/dogbone,1.0,10.0,10.0,2.0,-8.0,9.7,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
dogbone shackle,https://www.morfrac.com/dogbone,1.0,6.0,16.67,5.0,-11.670000000000002,4.5,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
titanium shackles,https://www.morfrac.com/shackle,2.0,14.0,14.29,2.5,-11.79,8.29,Non-branded,commercial,landing,0,22.0,127.0,,75,HIGH
dogbones,https://www.morfrac.com/es/dogbone,0.0,45.0,0.0,0.8,0.8,16.76,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
titanium shackle,https://www.morfrac.com/shackle,1.0,6.0,16.67,2.0,-14.670000000000002,10.0,Non-branded,commercial,landing,0,22.0,127.0,,75,HIGH
dogbone joint,https://www.morfrac.com/dogbone,0.0,62.0,0.0,0.2,0.2,40.87,Non-branded,commercial,landing,0,19.0,134.0,,60,MEDIUM
d-shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,2.0,15.0,13.33,0.8,-12.53,17.2,Non-branded,commercial,product,0,45.0,170.0,,60,MEDIUM
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,15.0,0.0,0.8,0.8,16.4,Non-branded,commercial,product,0,45.0,170.0,,60,MEDIUM
conurban marine,https://www.morfrac.com/partner,0.0,11.0,0.0,3.0,3.0,7.64,Non-branded,unknown,other,0,32.0,94.0,,55,MEDIUM
aluminum vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,23.0,0.0,4.0,4.0,5.48,Non-branded,unknown,blog,0,82.0,230.0,,50,MEDIUM
aluminum vs titanium vs stainless steel,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,9.0,0.0,4.0,4.0,5.44,Non-branded,unknown,blog,0,82.0,230.0,,50,MEDIUM
camfrac,https://www.morfrac.com/about,0.0,10.0,0.0,0.4,0.4,38.1,Non-branded,unknown,other,0,15.0,129.0,,15,LOW
fixafrac,https://www.morfrac.com/solutions,0.0,19.0,0.0,0.6,0.6,20.42,Non-branded,unknown,other,0,39.0,156.0,,15,LOW
mapfrac,https://www.morfrac.com/solutions,0.0,28.0,0.0,0.2,0.2,43.14,Non-branded,unknown,other,0,39.0,156.0,,10,LOW
camfrac,https://www.morfrac.com/,0.0,6.0,0.0,0.4,0.4,35.33,Non-branded,unknown,home,0,43.0,160.0,,5,LOW
fixafrac,https://www.morfrac.com/,0.0,5.0,0.0,0.6,0.6,25.2,Non-branded,unknown,home,0,43.0,160.0,,5,LOW
