query,page,clicks,impressions,ctr_percent,expected_ctr,ctr_gap,position,query_type,intent,page_type,issue_count,title_length,meta_description_length,issues,opportunity_score,opportunity_level
dogbone,https://www.morfrac.com/dogbone,1.0,108.0,0.93,2.0,1.0699999999999998,9.12,Non-branded,commercial,landing,0,19.0,134.0,,115,VERY HIGH
dogbone,https://www.morfrac.com/es/dogbone,0.0,80.0,0.0,3.0,3.0,7.78,Non-branded,commercial,landing,0,19.0,134.0,,115,VERY HIGH
dog bone shackle,https://www.morfrac.com/dogbone,0.0,30.0,0.0,2.0,2.0,9.37,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dogbones,https://www.morfrac.com/es/dogbone,0.0,28.0,0.0,2.5,2.5,8.14,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dogbone shackle,https://www.morfrac.com/dogbone,0.0,14.0,0.0,3.0,3.0,7.79,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
padeyes,https://www.morfrac.com/padeye,1.0,184.0,0.54,0.8,0.26,15.7,Non-branded,commercial,landing,0,18.0,133.0,,95,HIGH
custom shackles,https://www.morfrac.com/shackle,0.0,15.0,0.0,2.0,2.0,9.67,Non-branded,commercial,landing,0,22.0,127.0,,95,HIGH
deck pad eye,https://www.morfrac.com/padeye,0.0,15.0,0.0,2.5,2.5,8.93,Non-branded,commercial,landing,0,18.0,133.0,,95,HIGH
dogbones,https://www.morfrac.com/dogbone,0.0,43.0,0.0,1.0,1.0,10.44,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
dog bone soft shackle,https://www.morfrac.com/dogbone,0.0,6.0,0.0,2.0,2.0,9.17,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,21.0,0.0,2.0,2.0,9.52,Non-branded,commercial,blog,0,0.0,0.0,,90,HIGH
m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,42.0,0.0,1.0,1.0,12.12,Non-branded,commercial,product,0,44.0,158.0,,90,HIGH
padeye,https://www.morfrac.com/padeye,1.0,70.0,1.43,1.0,-0.42999999999999994,10.79,Non-branded,commercial,landing,0,18.0,133.0,,85,HIGH
dog bone sailing,https://www.morfrac.com/dogbone,0.0,5.0,0.0,1.0,1.0,10.8,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
dogbone carriers,https://www.morfrac.com/dogbone,0.0,13.0,0.0,1.0,1.0,12.54,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,8.0,0.0,1.0,1.0,10.62,Non-branded,commercial,blog,0,0.0,0.0,,80,HIGH
soft padeye,https://www.morfrac.com/padeye,2.0,15.0,13.33,2.5,-10.83,8.87,Non-branded,commercial,landing,0,18.0,133.0,,75,HIGH
titanium shackle,https://www.morfrac.com/shackle,2.0,20.0,10.0,2.0,-8.0,9.4,Non-branded,commercial,landing,0,22.0,127.0,,75,HIGH
dog bone rigging,https://www.morfrac.com/dogbone,2.0,23.0,8.7,5.0,-3.6999999999999993,4.09,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
dogbone joint,https://www.morfrac.com/dogbone,0.0,50.0,0.0,0.4,0.4,39.4,Non-branded,commercial,landing,0,19.0,134.0,,65,MEDIUM
d-shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,16.0,0.0,0.8,0.8,17.88,Non-branded,commercial,product,0,45.0,170.0,,60,MEDIUM
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,15.0,0.0,0.8,0.8,19.53,Non-branded,commercial,product,0,45.0,170.0,,60,MEDIUM
conurban marine,https://www.morfrac.com/partner,0.0,6.0,0.0,3.0,3.0,7.33,Non-branded,unknown,other,0,32.0,94.0,,55,MEDIUM
aluminum vs titanium vs stainless steel,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,16.0,0.0,5.0,5.0,4.44,Non-branded,unknown,blog,0,82.0,230.0,,50,MEDIUM
aluminium vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,5.0,0.0,10.0,10.0,3.0,Non-branded,unknown,blog,0,82.0,230.0,,25,LOW
aluminum vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,1.0,20.0,5.0,4.0,-1.0,5.55,Non-branded,unknown,blog,0,82.0,230.0,,20,LOW
fixafrac,https://www.morfrac.com/solutions,0.0,12.0,0.0,0.6,0.6,20.42,Non-branded,unknown,other,0,39.0,156.0,,15,LOW
custom efl frames,https://www.morfrac.com/custom,0.0,5.0,0.0,0.2,0.2,48.6,Non-branded,unknown,other,0,17.0,123.0,,10,LOW
mapfrac,https://www.morfrac.com/,0.0,6.0,0.0,0.4,0.4,32.5,Non-branded,unknown,home,0,43.0,160.0,,5,LOW
camfrac,https://www.morfrac.com/,0.0,17.0,0.0,0.2,0.2,44.65,Non-branded,unknown,home,0,43.0,160.0,,0,LOW
mapfrac,https://www.morfrac.com/solutions,0.0,5.0,0.0,0.2,0.2,49.4,Non-branded,unknown,other,0,39.0,156.0,,0,LOW
