query,page,clicks,impressions,ctr_percent,expected_ctr,ctr_gap,position,query_type,intent,page_type,issue_count,title_length,meta_description_length,issues,opportunity_score,opportunity_level
dogbone,https://www.morfrac.com/es/dogbone,0.0,86.0,0.0,3.0,3.0,7.66,Non-branded,commercial,landing,0,19.0,134.0,,115,VERY HIGH
dogbone,https://www.morfrac.com/dogbone,2.0,129.0,1.55,2.0,0.44999999999999996,9.29,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dogbones,https://www.morfrac.com/dogbone,0.0,60.0,0.0,2.0,2.0,9.23,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
padeyes,https://www.morfrac.com/padeye,1.0,179.0,0.56,0.8,0.24,15.6,Non-branded,commercial,landing,0,18.0,133.0,,95,HIGH
custom shackles,https://www.morfrac.com/shackle,0.0,11.0,0.0,2.0,2.0,9.45,Non-branded,commercial,landing,0,22.0,127.0,,95,HIGH
dog bone shackle,https://www.morfrac.com/dogbone,0.0,22.0,0.0,2.5,2.5,8.59,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
dog bone soft shackle,https://www.morfrac.com/dogbone,0.0,6.0,0.0,2.0,2.0,9.17,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
dogbone shackle,https://www.morfrac.com/dogbone,0.0,12.0,0.0,2.5,2.5,8.5,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
1.5t shackle,https://www.morfrac.com/shop/ti-shackle-grade5-titanium-shackle-12526,0.0,5.0,0.0,2.0,2.0,9.8,Non-branded,commercial,product,0,55.0,152.0,,90,HIGH
m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,41.0,0.0,1.0,1.0,12.24,Non-branded,commercial,product,0,44.0,158.0,,90,HIGH
farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,21.0,0.0,2.0,2.0,9.57,Non-branded,commercial,blog,0,0.0,0.0,,90,HIGH
deck pad eye,https://www.morfrac.com/padeye,0.0,12.0,0.0,1.0,1.0,10.5,Non-branded,commercial,landing,0,18.0,133.0,,85,HIGH
padeye,https://www.morfrac.com/padeye,1.0,68.0,1.47,1.0,-0.47,11.01,Non-branded,commercial,landing,0,18.0,133.0,,85,HIGH
dogbone carriers,https://www.morfrac.com/dogbone,0.0,13.0,0.0,1.0,1.0,12.23,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
dog bone sailing,https://www.morfrac.com/dogbone,0.0,6.0,0.0,1.0,1.0,10.5,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
dog bone,https://www.morfrac.com/dogbone,0.0,6.0,0.0,15.0,15.0,1.33,Non-branded,commercial,landing,0,19.0,134.0,,80,HIGH
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,11.0,0.0,1.0,1.0,12.73,Non-branded,commercial,blog,0,0.0,0.0,,80,HIGH
dog bone rigging,https://www.morfrac.com/dogbone,1.0,18.0,5.56,5.0,-0.5599999999999996,4.67,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
titanium shackle,https://www.morfrac.com/shackle,1.0,19.0,5.26,1.0,-4.26,10.11,Non-branded,commercial,landing,0,22.0,127.0,,75,HIGH
sailing dog bone,https://www.morfrac.com/dogbone,1.0,5.0,20.0,2.5,-17.5,8.6,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
soft padeye,https://www.morfrac.com/padeye,1.0,13.0,7.69,1.0,-6.69,11.54,Non-branded,commercial,landing,0,18.0,133.0,,75,HIGH
dogbones,https://www.morfrac.com/es/dogbone,0.0,43.0,0.0,0.8,0.8,15.51,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
dogbone joint,https://www.morfrac.com/dogbone,0.0,47.0,0.0,0.4,0.4,38.68,Non-branded,commercial,landing,0,19.0,134.0,,65,MEDIUM
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,19.0,0.0,0.8,0.8,17.53,Non-branded,commercial,product,0,45.0,170.0,,60,MEDIUM
d-shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,16.0,0.0,0.8,0.8,17.25,Non-branded,commercial,product,0,45.0,170.0,,60,MEDIUM
conurban marine,https://www.morfrac.com/partner,0.0,7.0,0.0,3.0,3.0,7.29,Non-branded,unknown,other,0,32.0,94.0,,55,MEDIUM
aluminum vs titanium vs stainless steel,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,17.0,0.0,5.0,5.0,4.29,Non-branded,unknown,blog,0,82.0,230.0,,50,MEDIUM
aluminum vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,1.0,26.0,3.85,4.0,0.1499999999999999,5.23,Non-branded,unknown,blog,0,82.0,230.0,,30,LOW
aluminium vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,7.0,0.0,7.0,7.0,3.57,Non-branded,unknown,blog,0,82.0,230.0,,25,LOW
fixafrac,https://www.morfrac.com/solutions,0.0,14.0,0.0,0.8,0.8,19.57,Non-branded,unknown,other,0,39.0,156.0,,15,LOW
custom efl frames,https://www.morfrac.com/custom,0.0,5.0,0.0,0.2,0.2,49.2,Non-branded,unknown,other,0,17.0,123.0,,10,LOW
camfrac,https://www.morfrac.com/,0.0,17.0,0.0,0.2,0.2,42.82,Non-branded,unknown,home,0,43.0,160.0,,0,LOW
mapfrac,https://www.morfrac.com/solutions,0.0,12.0,0.0,0.2,0.2,48.83,Non-branded,unknown,other,0,39.0,156.0,,0,LOW
