query,page,clicks,impressions,ctr_percent,expected_ctr,ctr_gap,position,query_type,intent,page_type,issue_count,title_length,meta_description_length,issues,opportunity_score,opportunity_level
dogbone,https://www.morfrac.com/dogbone,2.0,195.0,1.03,2.5,1.47,8.05,Non-branded,commercial,landing,0,19.0,134.0,,115,VERY HIGH
dogbones,https://www.morfrac.com/dogbone,0.0,51.0,0.0,3.5,3.5,6.96,Non-branded,commercial,landing,0,19.0,134.0,,115,VERY HIGH
dog bone rigging,https://www.morfrac.com/dogbone,0.0,15.0,0.0,5.0,5.0,5.0,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dogbone rigging,https://www.morfrac.com/dogbone,0.0,7.0,0.0,4.0,4.0,5.57,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
deck pad eye,https://www.morfrac.com/padeye,0.0,9.0,0.0,3.5,3.5,6.22,Non-branded,commercial,landing,0,18.0,133.0,,105,VERY HIGH
dogbone shackle,https://www.morfrac.com/dogbone,0.0,12.0,0.0,3.0,3.0,7.67,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dog bone,https://www.morfrac.com/es/dogbone,0.0,11.0,0.0,2.5,2.5,9.0,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
dog bone soft shackle,https://www.morfrac.com/dogbone,0.0,9.0,0.0,2.0,2.0,10.0,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
padeyes,https://www.morfrac.com/padeye,1.0,133.0,0.75,0.8,0.050000000000000044,17.82,Non-branded,commercial,landing,0,18.0,133.0,,95,HIGH
dog bone,https://www.morfrac.com/dogbone,0.0,26.0,0.0,7.0,7.0,3.85,Non-branded,commercial,landing,0,19.0,134.0,,90,HIGH
farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,28.0,0.0,1.0,1.0,10.11,Non-branded,commercial,blog,0,0.0,0.0,,90,HIGH
dogbone,https://www.morfrac.com/es/dogbone,3.0,96.0,3.12,3.0,-0.1200000000000001,7.02,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
dogbone carriers,https://www.morfrac.com/dogbone,0.0,17.0,0.0,1.0,1.0,12.41,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,24.0,0.0,1.0,1.0,14.25,Non-branded,commercial,product,0,44.0,158.0,,80,HIGH
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,21.0,0.0,1.0,1.0,11.05,Non-branded,commercial,blog,0,0.0,0.0,,80,HIGH
sailing dog bone,https://www.morfrac.com/dogbone,1.0,5.0,20.0,3.0,-17.0,7.2,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
titanium shackle,https://www.morfrac.com/shackle,2.0,13.0,15.38,2.0,-13.38,9.77,Non-branded,commercial,landing,0,22.0,127.0,,75,HIGH
titanium shackles,https://www.morfrac.com/shackle,1.0,7.0,14.29,3.0,-11.29,7.14,Non-branded,commercial,landing,0,22.0,127.0,,75,HIGH
dogbones,https://www.morfrac.com/es/dogbone,0.0,65.0,0.0,0.6,0.6,20.75,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
dogbone joint,https://www.morfrac.com/dogbone,0.0,51.0,0.0,0.4,0.4,38.9,Non-branded,commercial,landing,0,19.0,134.0,,65,MEDIUM
d-shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,2.0,14.0,14.29,0.8,-13.489999999999998,18.07,Non-branded,commercial,product,0,45.0,170.0,,60,MEDIUM
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,20.0,0.0,0.8,0.8,15.75,Non-branded,commercial,product,0,45.0,170.0,,60,MEDIUM
conurban marine,https://www.morfrac.com/partner,0.0,11.0,0.0,3.0,3.0,7.55,Non-branded,unknown,other,0,32.0,94.0,,55,MEDIUM
aluminum vs titanium vs stainless steel,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,9.0,0.0,4.0,4.0,5.33,Non-branded,unknown,blog,0,82.0,230.0,,50,MEDIUM
aluminum vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,1.0,31.0,3.23,4.0,0.77,5.16,Non-branded,unknown,blog,0,82.0,230.0,,30,LOW
aluminium vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,5.0,0.0,7.0,7.0,3.8,Non-branded,unknown,blog,0,82.0,230.0,,25,LOW
fixafrac,https://www.morfrac.com/solutions,0.0,15.0,0.0,0.8,0.8,19.13,Non-branded,unknown,other,0,39.0,156.0,,15,LOW
camfrac,https://www.morfrac.com/about,0.0,7.0,0.0,0.4,0.4,38.14,Non-branded,unknown,other,0,15.0,129.0,,15,LOW
camfrac,https://www.morfrac.com/,0.0,5.0,0.0,0.4,0.4,33.2,Non-branded,unknown,home,0,43.0,160.0,,5,LOW
mapfrac,https://www.morfrac.com/solutions,0.0,24.0,0.0,0.2,0.2,46.25,Non-branded,unknown,other,0,39.0,156.0,,0,LOW
