query,page,clicks,impressions,ctr_percent,expected_ctr,ctr_gap,position,query_type,intent,page_type,issue_count,title_length,meta_description_length,issues,opportunity_score,opportunity_level
mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,116.0,0.0,3.5,3.5,6.94,Non-branded,commercial,product,0,44.0,158.0,,130,VERY HIGH
dogbone,https://www.morfrac.com/es/dogbone,1.0,116.0,0.86,3.5,2.64,6.53,Non-branded,commercial,landing,0,19.0,134.0,,125,VERY HIGH
dogbone,https://www.morfrac.com/dogbone,1.0,107.0,0.93,3.0,2.07,7.35,Non-branded,commercial,landing,0,19.0,134.0,,125,VERY HIGH
mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,0.0,34.0,0.0,3.0,3.0,7.26,Non-branded,commercial,product,0,44.0,158.0,,110,VERY HIGH
dog bone,https://www.morfrac.com/es/dogbone,0.0,8.0,0.0,3.0,3.0,7.12,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dogbone shackle,https://www.morfrac.com/dogbone,0.0,6.0,0.0,4.0,4.0,5.67,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dogbone sailing,https://www.morfrac.com/dogbone,0.0,10.0,0.0,3.5,3.5,6.1,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dog bone sailing,https://www.morfrac.com/dogbone,0.0,5.0,0.0,2.5,2.5,8.4,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,24.0,0.0,2.0,2.0,9.21,Non-branded,commercial,product,0,44.0,158.0,,90,HIGH
70xl,https://www.morfrac.com/shop/morfring-70xl-ptfe-friction-ring-12484,0.0,6.0,0.0,1.0,1.0,13.0,Non-branded,product_code,product,0,0.0,0.0,,90,HIGH
dogbones,https://www.morfrac.com/es/dogbone,1.0,28.0,3.57,7.0,3.43,3.79,Non-branded,commercial,landing,0,19.0,134.0,,90,HIGH
dog bone shackle,https://www.morfrac.com/dogbone,0.0,5.0,0.0,1.0,1.0,10.6,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
dogbone carriers,https://www.morfrac.com/dogbone,0.0,16.0,0.0,1.0,1.0,13.06,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
dog bone soft shackle,https://www.morfrac.com/dogbone,0.0,7.0,0.0,1.0,1.0,10.29,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
custom shackles,https://www.morfrac.com/shackle,0.0,14.0,0.0,1.0,1.0,10.86,Non-branded,commercial,landing,0,22.0,127.0,,85,HIGH
dogbones,https://www.morfrac.com/dogbone,1.0,39.0,2.56,1.0,-1.56,13.13,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
deck pad eye,https://www.morfrac.com/padeye,0.0,17.0,0.0,7.0,7.0,3.47,Non-branded,commercial,landing,0,18.0,133.0,,80,HIGH
farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,7.0,0.0,1.0,1.0,10.71,Non-branded,commercial,blog,0,0.0,0.0,,80,HIGH
dog bone rigging,https://www.morfrac.com/dogbone,1.0,23.0,4.35,5.0,0.6500000000000004,4.48,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,26.0,0.0,0.8,0.8,15.77,Non-branded,commercial,product,0,45.0,170.0,,70,MEDIUM
d-shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,16.0,0.0,0.8,0.8,16.19,Non-branded,commercial,product,0,45.0,170.0,,60,MEDIUM
dogbone joint,https://www.morfrac.com/dogbone,0.0,59.0,0.0,0.2,0.2,43.27,Non-branded,commercial,landing,0,19.0,134.0,,60,MEDIUM
comparison of stainless steel vs. titanium hardware for boats?,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,5.0,0.0,5.0,5.0,4.4,Non-branded,unknown,blog,0,82.0,230.0,,50,MEDIUM
conurban marine,https://www.morfrac.com/partner,0.0,6.0,0.0,2.5,2.5,8.33,Non-branded,unknown,other,0,32.0,94.0,,45,LOW
aluminum vs titanium vs stainless steel,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,13.0,0.0,7.0,7.0,3.92,Non-branded,unknown,blog,0,82.0,230.0,,25,LOW
aluminium vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,8.0,0.0,7.0,7.0,3.5,Non-branded,unknown,blog,0,82.0,230.0,,25,LOW
stainless steel vs aluminum vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,1.0,16.0,6.25,7.0,0.75,3.94,Non-branded,unknown,blog,0,82.0,230.0,,-5,LOW
