query,page,normalized_url
2100kg,https://www.morfrac.com/es/shop/morfblock-light-05-performance-sailing-block-12342,/es/shop/morfblock-light-05-performance-sailing-block-12342
60xl,https://www.morfrac.com/shop/morfring-60xl-12828,/shop/morfring-60xl-12828
70xl,https://www.morfrac.com/shop/morfring-70xl-ptfe-friction-ring-12484,/shop/morfring-70xl-ptfe-friction-ring-12484
70xlld,https://www.morfrac.com/shop/morfring-70xl-ptfe-friction-ring-12484,/shop/morfring-70xl-ptfe-friction-ring-12484
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,/blog/news-1/farr-x2-5
farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,/blog/news-1/farr-x2-5
four fork,https://www.morfrac.com/es/shop/powerfurl-four-fork-2-1-fitting-12517,/es/shop/powerfurl-four-fork-2-1-fitting-12517
four part shackle,https://www.morfrac.com/shop/powerfurl-four-ti-shackle-12511,/shop/powerfurl-four-ti-shackle-12511
images,https://www.morfrac.com/shop/padeye-through-1-5t-through-deck-padeye-12640,/shop/padeye-through-1-5t-through-deck-padeye-12640
