query,page,clicks,impressions,ctr_percent,expected_ctr,ctr_gap,position,query_type,intent,page_type,issue_count,title_length,meta_description_length,issues,opportunity_score,opportunity_level
dogbone,https://www.morfrac.com/dogbone,0.0,180.0,0.0,3.0,3.0,7.29,Non-branded,commercial,landing,0,19.0,134.0,,135,VERY HIGH
dogbone,https://www.morfrac.com/es/dogbone,0.0,106.0,0.0,3.0,3.0,7.75,Non-branded,commercial,landing,0,19.0,134.0,,135,VERY HIGH
mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,0.0,137.0,0.0,3.5,3.5,6.03,Non-branded,commercial,product,0,44.0,158.0,,130,VERY HIGH
mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,96.0,0.0,3.0,3.0,7.89,Non-branded,commercial,product,0,44.0,158.0,,110,VERY HIGH
dog bone shackle,https://www.morfrac.com/dogbone,0.0,9.0,0.0,4.0,4.0,6.0,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dog bone sailing,https://www.morfrac.com/dogbone,0.0,6.0,0.0,3.0,3.0,7.17,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dog bone rigging,https://www.morfrac.com/dogbone,0.0,13.0,0.0,5.0,5.0,4.15,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dog bones,https://www.morfrac.com/es/dogbone,0.0,8.0,0.0,3.5,3.5,6.62,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,23.0,0.0,4.0,4.0,5.87,Non-branded,commercial,blog,0,0.0,0.0,,100,VERY HIGH
m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,29.0,0.0,2.0,2.0,9.28,Non-branded,commercial,product,0,44.0,158.0,,100,VERY HIGH
dog bone soft shackle,https://www.morfrac.com/dogbone,0.0,10.0,0.0,2.5,2.5,8.4,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
cancamo pasante,https://www.morfrac.com/es/padeye,0.0,6.0,0.0,2.5,2.5,8.83,Non-branded,commercial,landing,0,18.0,133.0,,95,HIGH
dog bone,https://www.morfrac.com/es/dogbone,0.0,9.0,0.0,2.0,2.0,9.44,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
kevlar dog bone,https://www.morfrac.com/dogbone,0.0,8.0,0.0,2.5,2.5,9.0,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
dogbones,https://www.morfrac.com/dogbone,0.0,88.0,0.0,1.0,1.0,13.38,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
dogbones,https://www.morfrac.com/es/dogbone,0.0,35.0,0.0,1.0,1.0,13.94,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
dogbone sailing,https://www.morfrac.com/dogbone,0.0,5.0,0.0,2.5,2.5,8.8,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
dog bone,https://www.morfrac.com/dogbone,0.0,81.0,0.0,15.0,15.0,1.07,Non-branded,commercial,landing,0,19.0,134.0,,90,HIGH
farr performance,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,7.0,0.0,2.0,2.0,9.14,Non-branded,commercial,blog,0,0.0,0.0,,90,HIGH
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,7.0,0.0,1.0,1.0,12.43,Non-branded,commercial,product,0,45.0,170.0,,80,HIGH
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,2.0,55.0,3.64,3.0,-0.6400000000000001,7.89,Non-branded,commercial,blog,0,0.0,0.0,,80,HIGH
deck pad eye,https://www.morfrac.com/padeye,0.0,6.0,0.0,7.0,7.0,3.17,Non-branded,commercial,landing,0,18.0,133.0,,80,HIGH
dogbone shackle,https://www.morfrac.com/dogbone,1.0,11.0,9.09,3.5,-5.59,6.73,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
sailing dogbone,https://www.morfrac.com/dogbone,1.0,47.0,2.13,0.6,-1.5299999999999998,22.43,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
"""orza"" sailing command",https://www.morfrac.com/es/morfwing,0.0,7.0,0.0,7.0,7.0,4.0,Non-branded,unknown,other,0,19.0,161.0,,65,MEDIUM
dogbone joint,https://www.morfrac.com/dogbone,0.0,53.0,0.0,0.2,0.2,64.94,Non-branded,commercial,landing,0,19.0,134.0,,60,MEDIUM
almacenadores,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-tambor-30,0.0,5.0,0.0,15.0,15.0,1.8,Non-branded,unknown,category,0,30.0,0.0,,52,MEDIUM
helice de proa,https://www.morfrac.com/es/blog/historias-4/helice-de-proa-9,0.0,10.0,0.0,7.0,7.0,3.4,Non-branded,unknown,blog,0,0.0,0.0,,45,LOW
fixafrac,https://www.morfrac.com/,0.0,5.0,0.0,0.6,0.6,26.6,Non-branded,unknown,home,0,43.0,160.0,,5,LOW
mofrac,https://www.morfrac.com/,1.0,8.0,12.5,7.0,-5.5,3.12,Non-branded,unknown,home,0,43.0,160.0,,0,LOW
